Empresa,Area,Ubicacion,Descripcion
Emelka S.A.,Agricultura / Pesca / Ganaderia,"Gral. Roca, Rio Negro","Empresa Agropecuaria de la zona de rio negro, con operaciones en Gral. Roca, Villa Regina y Valle Medio."
Servicios Agropecuarios,Agricultura / Pesca / Ganaderia,---,
Natilla SA,Agricultura / Pesca / Ganaderia,"San Fernando del Valle, Catamarca",Empresa lider en el rubro .............. ........ ......................... ...................................... ......................
Hospivet,Agricultura / Pesca / Ganaderia,"Martinez, Buenos Aires-GBA","Veterinaria 24 horas. Guardias dias de semana y fines de semana. Con mas de 40 anos en el sector veterinario. Venta de zooterapicos, articulos y alimentos para mascotas. Cirugia, Rx, eco grafias, banos y peluqueria."
ARGENCROPS SA,Agricultura / Pesca / Ganaderia,"Perico, Jujuy","Empresa exportadora y procesadora de legumbres, ubicada en la provincia de Jujuy. Con mas de 15 anos trabajando en el rubro estamos consolidados como empresa reconocida por su calidad, servicio y responsabilidad."
Grupo Agroempresa,Agricultura / Pesca / Ganaderia,"Sinsacate, Cordoba",Grupo Agroempresa Argentina
kiro software,Agricultura / Pesca / Ganaderia,"Agronomia, Capital Federal","Empresa de desarrollo de software. Consultora de seleccion de personal especializada en perfiles cualificados, mandos intermedios y directivos. Su equipo de headhunters ayudan a todo tipo de empresas desde PYMES hasta multinacionales que necesitan cubrir posiciones permanentes a nivel nacional o internacional."
Viser S.A,Agricultura / Pesca / Ganaderia,"Jesus Maria, Cordoba","Viser S.A. fue fundada en el 2007 con el objetivo de proporcionar soluciones a la medida de las necesidades de cada cliente, en un mercado internacional avido de productos de calidad para el consumo humano y la nutricion animal."
AGILE AGRO,Agricultura / Pesca / Ganaderia,"Sta. Rosa, La Pampa","Empresa formuladora de Agroquimicos diferenciales para el Agro con presencia en 7 provincias. Fundada en 2014 y con sede en Santa Rosa, La Pampa , nos dedicamos exclusivamente a la formulacion y distribucion de coadyuvantes, inoculantes, auxiliares, y demas insumos para las aplicaciones agricolas."
Agrality,Agricultura / Pesca / Ganaderia,"Boulogne, Buenos Aires-GBA","Agrality es una empresa dedicada a la prestacion de servicios para companias agroindustriales del mercado global, fundada en el ano 2016 con operaciones en Argentina y Estados Unidos."
Servicios y Soluciones Inteligentes S.A,Agricultura / Pesca / Ganaderia,"Lujan, Mendoza","Empresa agropecuaria en expansion, con presencia en diferentes zonas de Mendoza, puntualmente en el Valle de Uco."
Villa Nueva SA,Agricultura / Pesca / Ganaderia,"Villa Maria, Cordoba","Villa Nueva SA es una empresa que comercializa insumos agropecuarios hace mas de 40 anos a nivel nacional, tiene 6 sucursales en el pais y su casa central en Villa maria, Cordoba."
CINCO ESQUINAS S.A.,Agricultura / Pesca / Ganaderia,"Maipu, Mendoza","EMPRESA FRUTIHORTICOLA DEDICADA A LA IMPORTACION Y EXPORTACION DE FRUTAS DE ESTACION, CON BASE EN MENDOZA, MAIPU, GENERAL GUTIERREZ. CUENTA CON UNA TRAYECTORIA EN EL MERCADO DE MAS DE 50 ANOS Y ES UNO DE LOS REFERENTES DE LA ACTIVIDAD."
Frigorifico Carnes del Interior S.A,Agricultura / Pesca / Ganaderia,"Aldea Ma. Luisa, Entre Rios","Somos una empresa frigorifica, actualmente dedicada a la matanza porcina, especificamente faena, desposte y productos elaborados."
AMERICAN GARLIC,Agricultura / Pesca / Ganaderia,"Guaymallen, Mendoza","Es una empresa que produce, industrializa y exporta productos de la agricultura. LAs oficinas centrales estan ubicadas en Los Corralitos, Guaymallen Mendoza. Es parte de un grupo de empresas que opera en el mismo sector, pero abarcando distintas unidades de negocios."
AGRICOLA PRESIDENTE S A,Agricultura / Pesca / Ganaderia,"San Juan, San Juan","Somos un grupo empresario mendocino, de origen familiar, que inicio sus actividades comerciales desde 1971. A partir de ese momento hemos desarrollado emprendimientos de reconocido impacto. Creamos verdaderos hitos referenciales en Mendoza y en el pais vecino, Chile."
ZOOTEC,Agricultura / Pesca / Ganaderia,"Mar del Plata, Buenos Aires","Zootec es una empresa argentina que produce y comercializa productos para aves y pequenos mamiferos. Nuestra planta fabril esta situada en la localidad de Mar del Plata, provincia de Buenos Aires."
Argenbras Parceria S.A,Agricultura / Pesca / Ganaderia,"Mar del Plata, Buenos Aires","Empresa agroindustrial, que se dedica principalmente a la produccion y empaque de hortalizas. Estas son seleccionadas y embaladas en empaques propios, para su despacho directo hasta destino final."
Piattelli Vineyards,Agricultura / Pesca / Ganaderia,"Lujan De Cuyo, Mendoza","Empresa vitivinicola con dos bodegas, ubicada una en Agrelo (Mendoza) y otra en Cafayate (Salta), y restaurante en Cafayate."
Latin Lemon S.R.L.,Agricultura / Pesca / Ganaderia,"Bella Vista, Tucuman","Latin Lemon SRL es una empresa agro-exportadora directa bajo marcas propias que posee dos unidades de negocio. Por un lado, se encuentra el negocio de limon fresco para exportacion bajo el sello de calidad garantizado por el grupo All Lemon y, por otro, el negocio de los productos derivados del limon (aceite esencial, jugo concentrado y cascara deshidratada). La produccion de la empresa se realiza en un empaque con construccion de 5.000.- mts. cuadrados destinado a la seleccion de fruta de calidad para la exportacion directa a clientes en diversos puntos del mundo, siendo el mercado europeo el mas fuerte. A su vez, posee una planta procesadora de aprox. 7.000 mts. cuadrados donde se lleva a cabo el proceso fabril de utilizacion del descarte de fruta para la produccion de derivados del limon. Ambos situados en un predio de 18 has. en la localidad de Bella Vista, mas precisamente en Ruta Nacional 157, km 23. mismo lugar donde posee sus oficinas administrativas."
Avellaneda Carnes,Agricultura / Pesca / Ganaderia,"Florencio Varela, Buenos Aires-GBA","Avellaneda Carnes somos un frigorifico con mas de 50 anos en el mercado, priorizando a nuestros consumidores con lo mejor de nuestro trabajo."
JManuel,Agricultura / Pesca / Ganaderia,"Charata, Chaco","Reconocida Empresa en crecimiento, destinada a la venta de Agro Insumos en la Zona de Chaco y Santiago del Estero. Sus sucursales se encuentran ubicadas en Gancedo, Villa Angela, Tres Isletas, y Sachayoj."
Parana Fishing Group S.A.,Agricultura / Pesca / Ganaderia,"Arroyo Seco, Santa Fe","Frigorifico dedicado a la elaboracion, procesamniento, comercializacion y distribucion de pesacados de rio, mar, mariscos y otros."
NANOTICA Agro,Agricultura / Pesca / Ganaderia,"San Martin, Buenos Aires-GBA","En NANOTICA Agro desarrollamos nanotecnologia para mejorar el delivery de principio activo de productos de proteccion de cultivos, optimizando la llegada al target deseado."
Grupo Veraz,Agricultura / Pesca / Ganaderia,"Mar del Plata, Buenos Aires","Grupo Veraz es un grupo de empresas de capitales nacionales, completamente integrado en la cadena de valor de las industrias naval y pesquera, integrada actualmente por un astillero naval, 9 buques fresqueros y congeladores tangoneros, y plantas fabriles en las ciudades de Mar del Plata (Provincia de Buenos Aires), Rawson (Provincia de Chubut) y Puerto Deseado (Provincia de Santa Cruz)."
Frigorifico del Sud Este S.A.,Agricultura / Pesca / Ganaderia,"Mar del Plata, Buenos Aires",Empresa elaboradora de pescados y mariscos para la exportacion.
Vallsgarden,Agricultura / Pesca / Ganaderia,"Cordoba, Cordoba","Vivero Mayorista y minorista dedicado a la produccion y comercializacion de plantas de parque, Arboles, Arbustos, Gramineas, Coniferas, Herbaceas, Citricos, Frutales, Cactus, Palmeras, todas de primera calidad, tamano y estado fitosanitario."
ANDARIEGO SA,Agricultura / Pesca / Ganaderia,"Maipu, Mendoza","Empresa dedicada fundamentalmente al cultivo de productos horticolas, y viticolas. Ademas posee una bodega destinada a la guarda de vinos."
SERVEMP GROUP S.A.S,Agricultura / Pesca / Ganaderia,"San Miguel de Tucuman, Tucuman",EMPRESA DEDICADA A LA TERCIARIZACION DE PERSONAL DE MANO DE OBRA AGRICOLA TRABAJAMOS TANTO EN EMAQUES DE FRUTAS COMO EN COSECHA
AMASUYO,Agricultura / Pesca / Ganaderia,"Salta, Salta",EMPRESA ELABORADORA Y COMERCIALIZADORA DE PRODUCTOS LACTEOS Y DISTRIBUIDORA DE PRODUCTOS ALIMENTICIOS.
Interbiol srl,Agricultura / Pesca / Ganaderia,"San Fernando, Buenos Aires-GBA",Laboratorio de productos veterinarios
Jasa,Agricultura / Pesca / Ganaderia,"Guaymallen, Mendoza","JASA produce Jugos Concentrados de Uvas de alta calidad. Para ello ha priorizado la seleccion de las materias primas utilizadas y los controles en cada una de las etapas del proceso de produccion, posibilitando contar con una trazabilidad clara y precisa para el seguimiento de nuestro producto final."
Pesquera Cruz del Sur SA,Agricultura / Pesca / Ganaderia,"Mar del Plata, Buenos Aires",Empresa espanola con sede en la ciudad de Mar del Plata que se desarrolla en la industria pesquera y se especializa en la captura y exportacion de calamar.
El Triunfo S.A.,Agricultura / Pesca / Ganaderia,"Oncativo, Cordoba","Empresa con 20 anos de trayectoria brindando servicios al productor agropecuario, a traves de sus unidades de negocios: Comercializacion de granos, Feedlot , combustibles, Logistica."
LA ENTRERRIANA,Agricultura / Pesca / Ganaderia,"San Miguel de Tucuman, Tucuman",La Entrerriana es una empresa solida que ofrece un sistema de venta mayorista bajo la premisa de productos de calidad y precios competitivos y beneficiosos para cada uno de los comerciantes que decida comprar nuestros productos.
PROEMIO WINES,Agricultura / Pesca / Ganaderia,"Mendoza, Mendoza",Producir vinos autenticos y bien estructurados que expresan el verdadero caracter varietal ofreciendo un gran valor a nuestros consumidores en todo el mundo.
Las Camelias,Agricultura / Pesca / Ganaderia,"San Jose, Entre Rios",Mision: Somos una empresa pionera en la produccion y comercializacion avicola; produciendo alimentos sanos y seguros para la region y el mundo. Nos diferenciamos por tener una gestion sustentable e innovadora basada en la profesionalidad de nuestra gente.
Cominotto sa,Agricultura / Pesca / Ganaderia,"Cordoba, Cordoba","Empresa Familiar , rubro agroindustrial . Explota campos en las Provincias De San Luis y Cordoba. Sus explotaciones son Maiz, soja , sorgo , trigo y especialities. El destino de lo producido es para consumo propio, exportacion y comercializacion nacional."
CARLOS F.R DE DIAGO,Agricultura / Pesca / Ganaderia,"Villa Dominico, Buenos Aires-GBA","Empresa distribuidora de Quimicos para limpieza y desinfeccion en industria Alimenticia, Farmaceutica e industrial Gral. 16 anos de experiencia en el rubro alimenticio. 30 anos en el Industria Naval."
C Y G EXPORTACIONES SRL,Agricultura / Pesca / Ganaderia,"San Miguel de Tucuman, Tucuman","Por medio de la presente queremos contarles en un breve resumen algo de nuestra empresa. Somos una sociedad joven dedicada a la produccion y exportacion de distintos granos desde 2017. Radicada en el norte de Argentina, donde existe una gran diversidad de productos agricolas. Los principales cultivos son: poroto negro, poroto alubia, poroto colorado, maiz, soja, trigo y maiz. Los campos se encuentran ubicados en las provincias de Tucuman y Santiago del Estero."
Florensa Argentina,Agricultura / Pesca / Ganaderia,"Cordoba, Cordoba",Empresa lider en Semillas.
Don Simon,Agricultura / Pesca / Ganaderia,"Villa Soldati, Capital Federal","Empresa distribuidora de instrumental veterinario e insumos para ganaderia, tenemos clientes en todo el pais, trabajamos tanto en el canal veterinario como en ecommerce y redes sociales. Fuertemente orientada al logro de objetivos y trabajo en equipo."
Vlb Negocios Ganaderos SRL,Agricultura / Pesca / Ganaderia,"Arroyito, Cordoba",Empresa lider en el mercado comercial dedicada a la compra y venta de ganado vacuno
Sementis Idear,Agricultura / Pesca / Ganaderia,"Roldan, Santa Fe","Somos una empresa familiar dedicada a la prestacion de servicios para el agro. Brindamos servicios de investigacion y desarrollo. Somos una empresa local, familiar, con ganas de crecer, y aumentar nuestros conocimientos aportando informacion al sector agricola."
Eduardo Beraza,Agricultura / Pesca / Ganaderia,"Alberti, Buenos Aires","EDUARDO BERAZA S.A. es una empresa familiar nacida hace mas de 40 anos en la ciudad de Alberti (Provincia de Buenos Aires), que opera en el mercado agropecuario, siendo proveedores de insumos y prestando servicios y logistica en los rubros de acopio de granos, transporte, venta de semillas, fertilizantes, agroquimicos y combustibles."
Agroconsultar Latinoamerica,Agricultura / Pesca / Ganaderia,"Puerto Madero, Capital Federal","Brindamos servicios de consultoria y capacitacion para el agro y la industria alimentaria, especializandonos en cursos de capacitacion a distancia para todos los paises de habla hispana."
Natural Food Argentina,Agricultura / Pesca / Ganaderia,"Caucete, San Juan",Empresa del rubro agroindustrial que comercializa mas del mas del 75 % de su produccion en el exterior. La empresa actualmente posee cuatro explotaciones agricolas y una Industrial.
Praga Alimentos,Agricultura / Pesca / Ganaderia,"Cordoba, Cordoba","PRAGA Alimentos produce commodities y specialities, entre otros granos y forrajes. Integrando la produccion, comercializacion y logistica, manteniendo un estricto control en la cadena de produccion desde la siembra hasta la entrega del producto final."
DESARROLLADORA JME S.A.S,Agricultura / Pesca / Ganaderia,"Rosario, Santa Fe","Somos una sociedad legalmente constituida en la ciudad de Rosario, provincia de Santa Fe, para operar en la comercializacion de negocios en todo el pais."
CLAAS ARGENTINA S.A.,Agricultura / Pesca / Ganaderia,"Sunchales, Santa Fe",CLAAS es la empresa mundial lider en maquinaria agricola y servicios de pos venta de origen aleman. En Argentina y Latinoamerica poseemos una importante red de atencion y distribucion estrategicamente localizada para asegurar un rapido servicio y atencion al cliente.
VETERINARIA MCVET,Agricultura / Pesca / Ganaderia,"Garin, Buenos Aires",McVet Veterinaria. Consultorio - Especialidades - Bano y Peluqueira - Ecografias - Primeros Auxilios
SA ING CARLOS KUSSMAUL,Agricultura / Pesca / Ganaderia,"Rosario, Santa Fe","Empresa dedicada a vender productos para maquinarias agricola, correas, seguridad industrial, cintas transportadoras. Lider en el mercado, abarcando toda aArgentina."
MALANCA AGRO MAQUINARIAS SRL,Agricultura / Pesca / Ganaderia,"Guaymallen, Mendoza","Malanca Agro Maquinarias S.R.L. desde 1957 en el mercado, brindando servicio al sector agricola. Fabricacion, Reparacion y Ventas de Atomizadoras, Pulverizadoras, Maquinas para desforestacion y Jardineria."
EUROPATAGONICA,Agricultura / Pesca / Ganaderia,"Mar del Plata, Buenos Aires","EUROPATAGONICA S.A. es un grupo economico en constante evolucion. Esta conformado por 5 areas de negocios, que trabajan en forma articulada, logrando mayor eficiencia en todos sus procesos. Con mas de 30 anos."
PROMAS SA,Agricultura / Pesca / Ganaderia,"La rioja, La Rioja","Nuestra empresa se dedica al cultivo de frutos oleaginosos, elaboracion de aceite de Oliva, y cria de Ganado Bovino."
BUFFETTI CO,Agricultura / Pesca / Ganaderia,"Anguil, La Pampa","EMPRESA DEDICADA EN CENTRAL A ACTIVIDAD AGROPECUARIA NEGOCIO SECUNDARIO DEDICADO VENTA Y COMERCIALIZACION PRODUCTOS AGROINDUTRIALES Y DE SERVICIOS TELEFONICOS, INTERNET Y TELECOMUNICACIONES VIA CALL CENTER"
Mardi SA,Agricultura / Pesca / Ganaderia,"Mar del Plata, Buenos Aires","Empresa Marplatense dedicada a la elaboracion comercializacion, importacion y exportacion de productos alimenticios."
SmartField,Agricultura / Pesca / Ganaderia,"Colegiales, Capital Federal","Sistemas de Calidad con el objetivo de estandarizar la gestion de procesos productivos, mejorando el flujo de informacion y la toma de decisiones para reducir perdidas e ineficiencias."
Pocker S.A,Agricultura / Pesca / Ganaderia,Buenos Aires,Frigorifico Pocker se dedica a la distribucion y venta al publico de productos carnicos.
Mi Recuerdo SRL,Agricultura / Pesca / Ganaderia,"Villa Pueyrredon, Capital Federal",Empresa Agro-Ganadera dedicada a la produccion bovina. Desde 1982 acompanando al productor con nuestra genetica en sus rodeos. Tambien somos propietarios del Haras y Stud Don Nico.
Berries Mesopotamicos,Agricultura / Pesca / Ganaderia,"Concordia, Entre Rios","EMPRESA PRODUCTORA Y EXPORTADORA DE BERRIES Y PRODUCTOS ELABORADOS. UBICADOS EN CONCORDIA ENTRE RIOS NUESTRA PRINCIPAL ACTIVIDAD ES LA EXPORTACION DE ARANDANOS FRESCOS, ARANDANOS DESHIDRATADOSY JUGO DE ARANDANOS."
AGROPECUARIA FORTUNA,Agricultura / Pesca / Ganaderia,"Rosario, Santa Fe","Empresa agropecuaria dedicada a la actividad de ganaderia bovina de Cria, recria e invernada en diferentes estancias en la zona noreste de la Republica Argentina."
Indacor S.A,Agricultura / Pesca / Ganaderia,Cordoba,Empresa avicola cordobesa
Vivero Cuculo S.R.L,Agricultura / Pesca / Ganaderia,"Villa Urquiza, Capital Federal",Mantenimiento de parques jardines Somos una empresa en constante crecimiento.
Grupo Esmeralda SA,Agricultura / Pesca / Ganaderia,"Bahia Blanca, Buenos Aires",Empresa Agropecuaria dedicada al ciclo completo de ganaderia.
maribelland1,Agricultura / Pesca / Ganaderia,---,La empresa es una empresa de argentina registrada en Honduras para el CUIT. La empresa es una empresa de argentina registrada en Honduras para el CUIT.La empresa es una empresa de argentina registrada en Honduras para el CUIT.La empresa es una empresa de argentina registrada en Honduras para el CUIT.La empresa es una empresa de argentina registrada en Honduras para el CUIT
F.G.F.TRAPANI S.R.L.,Agricultura / Pesca / Ganaderia,"Tafi Viejo, Tucuman","FGF Trapani S.A. es sinonimo de limon, pero tambien de familia. Sus miembros representan parte de la tercera y cuarta generacion desde Ignacio Trapani cultivando citrus en Tucuman desde 1937, dedicados a cultivar, producir y comercializar limones frescos y sus derivados, y en menor escala, otros citricos. De esta manera la empresa se ha convertido en un proveedor de limones de excelente calidad, y ano a ano crece en el mercado nacional e internacional."
Broker Foods,Agricultura / Pesca / Ganaderia,"Mendoza, Mendoza","La mision de Broker Foods es acercar a los productores a los importadores y a los distribuidores, velando por la seguridad y calidad de los productos ofrecidos y que los compradores cumplan con sus obligaciones de pago en tiempo y forma."
BeGround,Agricultura / Pesca / Ganaderia,"Vicente Lopez, Buenos Aires-GBA",Somos una Pyme del rubro alimentos saludables que inicia con una fabrica ubicada en Florida Oeste - Vicente Lopez - Buenos Aires.
SAGEMULLER S.A.,Agricultura / Pesca / Ganaderia,"Crespo, Entre Rios","Importante empresa de Entre Rios dedicada a la produccion, distribucion y comercializacion de productos de consumo masivo, con trayectoria y presencia en el mercado nacional dentro del rubro de alimentos."
Panificadora del Pilar,Agricultura / Pesca / Ganaderia,"Cordoba, Cordoba","Somos una importante panificadora, lider en el mercado del interior del pais, con locales propios y una importante red de franquicias."
INVERPESCA S.A.,Agricultura / Pesca / Ganaderia,"Mar del Plata, Buenos Aires","Empresa del sector alimenticio dedicada al procesamiento de pescados y mariscos congelados.Nuestros establecimientos operan en el puerto de Mar del Plata, el principal puerto pesquero de la Argentina. Dia a dia trabajamos con materia prima proveniente del Atlantico Sur, reconocida por sus cualidades salvajes y naturales. Diversos tipos de flotas nos abastecen"
VANDERHOEVEN AGRICOLA,Agricultura / Pesca / Ganaderia,"Justiniano Posse, Cordoba",Vanderhoeven Agricola S.A. - Concesionario Oficial John Deere
Punta del Marques,Agricultura / Pesca / Ganaderia,"Mar del Plata, Buenos Aires","Rubro pesca, administracion comercial. Adminstracion de barcos, materia prima, ventas al mercado interno, logistica, abastecimiento y comercio exterior."
Halpern,Agricultura / Pesca / Ganaderia,"Lujan De Cuyo, Mendoza",Somos expertos en suelo.
EXPOFRUITS,Agricultura / Pesca / Ganaderia,"Concordia, Entre Rios",EXPOFRUITS SAS
NAVALSERV,Agricultura / Pesca / Ganaderia,"Mar del Plata, Buenos Aires",ALMACEN NAVAL atencion a buques pesqueros de toda la flota potera del pais. Armamento general de los buques y atencion personalizada con las empresas pesqueras.
Agro Specialities,Agricultura / Pesca / Ganaderia,"Col. Caroya, Cordoba","Agro Specialities es una procesadora de granos y legumbres. Brinda servicios de acondicionamiento a productores, exportacion directa y venta al mercado interno."
Alvarez Maquinarias S.A,Agricultura / Pesca / Ganaderia,"Laboulaye, Cordoba",
Le&co Legumbres & commodities,Agricultura / Pesca / Ganaderia,"Jesus Maria, Cordoba","Creemos que los negocios modernos se hacen integrando toda la cadena productiva, desde la planificacion de un cultivo hasta la comercializacion del mismo en los diferentes mercados."
El Ombu SRL,Agricultura / Pesca / Ganaderia,"Concordia, Entre Rios","Empresa de Servicios Forestales. PyME en expansion con desarrollo territorial en Entre Rios, Corrientes y Buenos Aires."
CABANA ARGENTINA,Agricultura / Pesca / Ganaderia,"Roque Perez, Buenos Aires","PACUCA SA es un de los productores de cerdos mas grandes del pais, ubicado en la ciudad de Roque Perez. Lo componen los diferentes sitios como Maternidad, Reproduccion, Recria y Terminacion."
Agricultores Federados Argentinos,Agricultura / Pesca / Ganaderia,"Rosario, Santa Fe","Es la principal Cooperativa Agropecuaria de primer grado en Argentina y una de las mas grandes y pujantes de America Latina.Los 36.000 Productores Asociados cuentan con una estructura compuesta por mas de 1.600 empleados permanentes en 26 Centros Cooperativos Primarios, que sumados a los Sub-Centros, Oficinas y Representaciones permiten que la entidad tenga presencia arraigada en 130 localidades de 9 provincias Argentinas: Santa Fe, Buenos Aires, Cordoba, Entre Rios, Santiago del Estero, Chaco, Salta, Tucuman y San Luis."
Filieres SRL,Agricultura / Pesca / Ganaderia,"Pilar, Buenos Aires","Nuestros verdes son elegidos desde hace anos por los restaurantes y hoteles mas importantes de Buenos Aires, porque llegan a las manos de los grandes chefs con la variedad y la calidad que ellos prefieren. Esto es el resultado de una produccion supervisada diariamente por los ingenieros agronomos de Sueno Verde, desde la simiente hasta el momento de cosecha, para luego ser seleccionada y acondicionada en nuestra planta de empaque sin interrumpir la cadena de frio, manteniendo asi, intacta la frescura y el aroma de lo recien cortado. Usted puede hacer como los mejores cocineros y degustar los productos de Sueno Verde, a pocas horas de ser cosechados, casi cumpliendo el sueno de tener su propia huerta. Sueno Verde no le ofrece verduras compradas a terceros sin control de calidad, simplemente acerca las mejores hierbas y vegetales a quienes, como usted, saben disfrutar de las cosas buenas."
INAGRO,Agricultura / Pesca / Ganaderia,"Rosario, Santa Fe","La solucion para los residuos de la Industria Aceitera. Nos dedicamos al retiro, tratamiento y gestion ambiental sustentable de todo tipo de residuo industrial de origen vegetal."
Gran Agro,Agricultura / Pesca / Ganaderia,"Parana, Entre Rios","Empresa dedicada a la comercializacion de maquinarias agricolas de primera linea de origen nacional e internacional, sus repuestos y reparaciones agricolas"
ALZ SEMILLAS SA,Agricultura / Pesca / Ganaderia,"Rosario, Santa Fe",ALZ AGRO es un grupo de empresas con fuerte presencia en el sector agroindustrial.
De All Jose y De All Jorge Sociedad de Hecho,Agricultura / Pesca / Ganaderia,"Recoleta, Capital Federal","Se trata de un grupo de empresas dedicadas a la actividad agricola ganadera y servicios inmobiliarios. Hace anos que estan en el mercado. Con inmuebles propios urbanos y rurales, ubicados estos ultimos en Entre Rios, Santiago del Estero y Chaco."
Sastre Inchauspe SA,Agricultura / Pesca / Ganaderia,"Retiro, Capital Federal","Empresa Agropecuaria (Agricultura - Ganaderia - Tambo) con establecimientos agropecuarios en Zona de 30 De Agosto, Albarino y Arenaza dentro de la Provincia de Buenos Aires."
AGRO CORSI SRL,Agricultura / Pesca / Ganaderia,"Bandera,","Empresa dedicada a la venta de Semillas y agroquimicos. Somos representantes Nidera Semillas, Syngenta, Fertilizantes Profertil, Etc. Estamos ubicados en la zona de Bandera provincia de santiago del estero."
PALMI SA,Agricultura / Pesca / Ganaderia,"Cordoba, Cordoba","EMPRESA AGROPECUARIA. SE DEDICA A LA PRODUCCION GANADERA DE SOJA, MAIZ , TRIGO, GARBANZO , GANADERIA. SERVICIOS DE MULTIPLICACION DE SEMILLA."
agrosuma srl,Agricultura / Pesca / Ganaderia,"Parque Patricios, Capital Federal","Empresa lider en el rubro de nutricion vegetal con mas de 30 anos en el mercado situados en Capital Federal , poseemos 5 depositos en el interior del pais"
Ricardo Venturino S.A,Agricultura / Pesca / Ganaderia,"Venado Tuerto, Santa Fe","Concesionaria Oficial John Deere, destinada a la Venta de Maquinaria Agricola nueva y usada. Tambien brinda Servicio de Posventa. Cuenta con cuatro Sucursales: Isla Verde, Arias, Casilda y Venado Tuerto."
Quimeco,Agricultura / Pesca / Ganaderia,"Rosario, Santa Fe",En Laboratorio Quimeco tenemos como objetivo fundamental contribuir con la mejora permanente de la calidad de aplicacion. Es por ello que formulamos y distribuimos una extensa variedad de productos destinados a optimizar los resultados de las aplicaciones en sus diversas variantes.
Industrias Frigorificas Sur S.A.,Agricultura / Pesca / Ganaderia,"25 de Mayo, Buenos Aires","Nuestra empresa se dedica a la matanza, procesamiento y frigorifico de hacienda bovina."
Fragapane Hnos.,Agricultura / Pesca / Ganaderia,"Gllen, Mendoza","Empresa mendocina productora, exportadora e importadora de frutas frescas como cereza, duraznos, manzanas, peras, ciruelas, damascos, kiwi y palta."
