Empresa,Ciudad,Departamento,Telefono,Direccion,Actividad
Agropecuaria Cima S A S,CALI,VALLE,3105046836,CALLE 13 OESTE 1 45 Cómo llegar,Cultivo de caña de azucar
Mongibello S A S,CHIA,CUNDINAMARCA,(1)8625177,LUGAR HACIENDA MONGIBELLO VEREDA LA BALSA Cómo llegar,Cultivo de flor de corte
Avicola San Martin S A,EL SANTUARIO,ANTIOQUIA,3152889930,VEREDA VARGAS GRANJA LOS GALPONES Cómo llegar,Cria de aves de corral
Melody Flowers S A S,BOGOTA,BOGOTA,(1)3222725,CALLE 19 5 30 OF 2201 EDIFICIO BD BACATA Cómo llegar,Cultivo de flor de corte
Inversiones Casagrande S A S,ENVIGADO,ANTIOQUIA,3104079040,CALLE 36A SUR 46 A 81 OF 204 Cómo llegar,Cultivo de platano y banano
Castilla Cosecha S A S,CALI,VALLE,(2)3920300,CALLE 35 NTE 6 A BIS 100 CENTRO EMPRESARIAL SANTA MONICA Cómo llegar,Actividades de apoyo a la agricultura
Agricola El Redil S A S,BOGOTA,BOGOTA,(1)8660242,CARRERA 8 D 191 15 TORRE 2 APTO 207 Cómo llegar,Cultivo de flor de corte
Servicios Administrativos Bananeros S A S,SANTA MARTA,MAGDALENA,(5)4329900,VIA GAIRA KM 2 Cómo llegar,Actividades de apoyo a la agricultura
C I Fillco Flowers S A S,ZIPAQUIRA,CUNDINAMARCA,(1)8829218,VEREDA PASO ANCHO FCA SANTA ANA 2 KM VIA ZIPAQUIRA BRICEÃO Cómo llegar,Cultivo de flor de corte
Palmas Oleaginosas De Casacara Ltda,BARRANQUILLA,ATLANTICO,(5)3692456,CARRERA 59 75 47 Cómo llegar,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
Colombiana De Aves S A Colaves,GIRON,SANTANDER,3138878554,CALLE 58 8 65 LC 18 KM 6 AUT GIRON Cómo llegar,Cria de aves de corral
Darwin Colombia Sas,TENJO,CUNDINAMARCA,(1)4899777,VEREDA CARRASQUILLA Cómo llegar,Propagacion de plantas (actividades de los viveros excepto viveros forestales)
Serviforestal S A,BUGA,VALLE,(2)2371510,CALLE 15 29 08 Cómo llegar,Silvicultura y otras actividades forestales
Flores De La Hacienda S A S,BOGOTA,BOGOTA,3143582210,CARRERA 7 A 95 03 P 6 Cómo llegar,Cultivo de flor de corte
Plantaciones La Paz Sas,BOGOTA,BOGOTA,(1)7446063,AVENIDA CARRERA 9 115 06 30 OF 2102 Cómo llegar,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
Palmas Oleaginosas De Santander S A S,BOGOTA,BOGOTA,(1)6915710,CARRERA 17 88 12 OF 302 Cómo llegar,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
Cultivos La Planicie Sas,BOGOTA,BOGOTA,(1)3222725,CALLE 19 5 30 OF 2201 ED BD BACATA Cómo llegar,Cultivo de flor de corte
Agricola Don Said S A S,SANTA MARTA,MAGDALENA,(5)4329900,VIA CARR TRONCAL DEL CARIBE KM 2 Cómo llegar,Cultivo de platano y banano
Sociedad Avicola El Tabacal S A S,BOGOTA,BOGOTA,(1)6203115,CARRERA 17 120 05 PISO 4 Cómo llegar,Cria de aves de corral
Promotora Porcina S A S,MEDELLIN,ANTIOQUIA,(4)3360172,CARRERA 25 B 36 AA SUR 151 Cómo llegar,Cria de ganado porcino
Nido Del Jabali S A S,APARTADO,ANTIOQUIA,(4)8282386,LUGAR APARTADO KM 1 SALIDA HACIA TURBO BODEGAS TROPYCENTRO Cómo llegar,Cultivo de platano y banano
Servicios Agricolas Duque Lasso Sas,CALI,VALLE,(2)3087494,CALLE 45 71 05 Cómo llegar,Cultivo de caña de azucar
Agricolombia S A S,BOGOTA,BOGOTA,(1)4780975,CALLE 72 9 55 OF 504 Cómo llegar,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
Luisiana Farms S A S,BOGOTA,BOGOTA,(1)5207133,CALLE 109 N 18 C 17 OFICINA 616 Cómo llegar,Cultivo de flor de corte
Flores Ubate S A S,BOGOTA,BOGOTA,(1)3222725,CALLE 19 5 30 OF 2201 EDIFICIO BD BACATA Cómo llegar,Cultivo de flor de corte
Federica S A S,SANTA MARTA,MAGDALENA,3157068325,VIA GAIRA ZONA INDUSTRIAL BURECHE KM 5 Cómo llegar,Cultivo de platano y banano
Agropecuaria San Gabriel Sas,SANTA MARTA,MAGDALENA,(5)4201528,VIA GAIRA KM 2 Cómo llegar,Cultivo de platano y banano
C I Flores Carmel S A S,RIONEGRO,ANTIOQUIA,3136527152,VEREDA TRES PUERTAS Cómo llegar,Cultivo de flor de corte
Compania Pecuaria Agricola S A S,MEDELLIN,ANTIOQUIA,(4)3201820,CALLE 4 SUR 43 AA 30 OFICINA501 Cómo llegar,Cultivo de frutas tropicales y subtropicales
Aves Emaus Sas,RETIRO,ANTIOQUIA,(4)4448053,VEREDA DON DIEGO Cómo llegar,Cria de aves de corral
Cana De Azucar Y Cereales S A,CALI,VALLE,(2)2258925,CALLE 22 NTE 4 56 OF 105 Cómo llegar,Cultivo de caña de azucar
Flores El Rebano S A S,BOGOTA,BOGOTA,(1)6371479,CALLE 117 6 56 Cómo llegar,Cultivo de flor de corte
Palmiagro Del Norte S A S,TIBU,NORTE SANTANDER,3112810386,CALLE 1 10 49 CORREG CAMPO DOS BARRIO EL PROGRESO Cómo llegar,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
Agroasesorias El Cencerro S A S,CALI,VALLE,(2)3169769,CARRERA 100 5 169 TO OASIS UNICENTRO OF 412 B Cómo llegar,Cultivo de caña de azucar
Palmeras La Carolina S A,BOGOTA,BOGOTA,(1)7477177,CARRERA 7 180 75 MODULO 1 LC 10 Y 11 Cómo llegar,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
Best Farms S A S,TOCANCIPA,CUNDINAMARCA,3204922090,VEREDA LA FUENTE Cómo llegar,Cultivo de flor de corte
Ms Timberland Holdings Limited,MEDELLIN,ANTIOQUIA,(4)6040433,CARRERA 43 A 5 A 113 TORRE SUR PISO 14 Cómo llegar,Servicios de apoyo a la silvicultura
Reforestadora Cumare Sas,BOGOTA,BOGOTA,(1)3257300,CARRERA 7 113 16 OF 504 Cómo llegar,Silvicultura y otras actividades forestales
Agropecuaria El Porfin Y Compania S En C,BOGOTA,BOGOTA,(1)7443616,AUTOPISTA SUR 66 78 LOCAL C15 Y C16 CENTRAL DE CARNES GUADAL Cómo llegar,Cria de ganado porcino
Inversiones Y Parcelaciones Del Meta Sociedad Por Acciones Simplificadas,BOGOTA,BOGOTA,(1)3176468,CALLE 81 A 8 57 PISO 2 Cómo llegar,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
Asociacion De Usuarios Del Distrito De Adecuacion De Tierras De Los Rios Coello Y Cucuana Usocoello,ESPINAL,TOLIMA,(8)2484306,CALLE 8 6 31 Cómo llegar,Actividades de apoyo a la agricultura
Las Brisas Agropecuarias S En C,NEIVA,HUILA,(8)8731560,LUGAR HACIENDA LAS BRISAS VIA TELLO NEIVA Cómo llegar,Acuicultura de agua dulce
C I Gold Land S A S,BARRANQUILLA,ATLANTICO,(5)3112680,CARRERA 51 B 87 50 LC 501 PI 5 CE Cómo llegar,Actividades de apoyo a la ganaderia
Inversionistas Santorini S A S,MEDELLIN,ANTIOQUIA,(4)3228312,CARRERA 43 A 14 57 OF 913 Cómo llegar,Cria de ganado bovino y bufalino
Inversiones Gomez Jaramillo S A S,MEDELLIN,ANTIOQUIA,(4)2681846,CARRERA 43 A 14 27 OFICINA 110 Cómo llegar,Cultivo de platano y banano
Oro Molido S A,ITAGUI,ANTIOQUIA,(4)4487320,CALLE 85 48 1 BL 31 OFICINA 818 Cómo llegar,Cultivo de cafe
Flores Rionegro S A,RIONEGRO,ANTIOQUIA,(4)5619788,VEREDA VILACHUAGA FCA VILACHUAGA Cómo llegar,Cultivo de flor de corte
H F De Colombia S A,CALI,VALLE,3164825073,CALLE 38 A NTE 4 11 Cómo llegar,Cria de aves de corral
Compania Bananera S A S,SANTA MARTA,MAGDALENA,(5)4215217,CARRERA 2 B 14 21 OFICINA 902 ED DE LOS BANCOS Cómo llegar,Cultivo de platano y banano
El Caimito S A S,CALI,VALLE,(2)2883119,LUGAR HC EL CASTILLO KM 21 VIA CALI JAMUNDI Cómo llegar,Cultivo de caña de azucar
Empresa Reforestadora El Libano S A S,ANDES,ANTIOQUIA,3103708970,CARRERA 56 C 57 07 Cómo llegar,Silvicultura y otras actividades forestales
Makand S A S,MOSQUERA,CUNDINAMARCA,(1)8292896,PARQUE DE LA SABANA LOCAL 12 Cómo llegar,Cultivo de hortalizas raices y tuberculos
Servicios De Fumigacion Aerea Garay S A S,CAREPA,ANTIOQUIA,(4)5138012,LUGAR CONJUNTO RESIDENCIAL LOS ALMENDROS Cómo llegar,Actividades de apoyo a la agricultura
Banaeva S A S,SANTA MARTA,MAGDALENA,(5)4329900,VIA GAIRA KM 2 Cómo llegar,Cultivo de platano y banano
Flores De La Victoria S A S,CARMEN DE VIBORAL,ANTIOQUIA,3117713563,VIA EL CARMEN KM 4 Cómo llegar,Cultivo de flor de corte
Vargas Sanchez S A S,CALI,VALLE,3136718962,CARRERA 118 4 220 CS 8 ALTOS DE LA COLINA Cómo llegar,Cria de aves de corral
Vuelven S A S,CHIA,CUNDINAMARCA,3208302485,LUGAR KM 1 5 VIA CHIA CAJICA COSTADO OCC OXUS CENTRO EMPRESARIAL OFC 51 Cómo llegar,Cultivo de flor de corte
Proteinovo S A S,PEREIRA,RISARALDA,3148881875,CARRERA 21 20 12 Cómo llegar,Cria de aves de corral
Maderas Marco Aurelio Zuluaga Sa,BUENAVENTURA,VALLE,(2)2412196,CALLE 3A SUR 17 F 16 Cómo llegar,Extraccion de madera
Cersabana Sas,BOGOTA,BOGOTA,3118474298,AUTOPISTA SUR 66 78 LOCAL A1 A2 Cómo llegar,Cria de ganado porcino
Flores El Zorro Ltda,EL ROSAL,CUNDINAMARCA,3184153987,AUTOPISTA M LLIN KM 17 Cómo llegar,Cultivo de flor de corte
Daflor S A S,EL ROSAL,CUNDINAMARCA,(1)8240798,LUGAR 600 MTS DEL ROSAL VIA SUBACHOQUE Cómo llegar,Cultivo de flor de corte
Agropecuaria Montreal S A S,SANTA MARTA,MAGDALENA,(5)4329900,TRANSVERSAL DEL CARIBE ZONA INDUSTRIAL Cómo llegar,Cultivo de platano y banano
Agrojar S A S,JARDIN,ANTIOQUIA,(4)8455190,CALLE 10 2 25 Cómo llegar,Otros cultivos transitorios n c p
Agroindustrial Don Eusebio S A S,BOGOTA,BOGOTA,3102236019,CARRERA 11 82 01 PISO 5 Cómo llegar,Cultivo de flor de corte
Agroindustriales El Horizonte S A S,SAN ALBERTO,CESAR,3185312710,CARRERA 4 6 80 OFICINA 3 BARRIO EL CENTRO Cómo llegar,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
Sociedad Colombiana De Expansion Agropecuaria S A Soceagro S A,BOGOTA,BOGOTA,(1)3762069,CALLE 67 7 94 OF 504 Cómo llegar,Cultivo de arroz
Eshkol Premium S A S,LA CEJA,ANTIOQUIA,(4)4442376,VEREDA LAS LOMITAS Cómo llegar,Cultivo de especias y de plantas aromaticas y medicinales
Wayuu Flowers S A S,BOGOTA,BOGOTA,(1)3222725,CALLE 19 5 30 OF 2201 EDIFICIO BD BACATA Cómo llegar,Cultivo de flor de corte
Cultivos Del Darien S A,APARTADO,ANTIOQUIA,3215963871,URBANIZACION UBERABA CASA 51 BARRIO UBERABA Cómo llegar,Cultivo de hortalizas raices y tuberculos
Industrias La Cabana S A,RIOSUCIO,CALDAS,(6)8592696,CALLE 11 6 28 Cómo llegar,Cria de aves de corral
Porcicola Zaragoza S A S,CARTAGO,VALLE,3113402851,CALLE 11 5 29 OF 305 Cómo llegar,Cria de ganado porcino
Fibras Del Interior S A,GUAMO,TOLIMA,3118099669,LUGAR KM 11 VIA ESPINAL GUAMO Cómo llegar,Actividades de apoyo a la agricultura
Agropecuaria El Gran Cedro S A S,APARTADO,ANTIOQUIA,(4)8280873,CALLE 100 A 96 83 BARRIO CHINITA Cómo llegar,Cultivo de platano y banano
Inversiones Agroganaderas Os S A S,ITAGUI,ANTIOQUIA,(4)3717172,CARRERA 52 49 64 Cómo llegar,Cria de ganado bovino y bufalino
Inversiones Lukaro Sas,VILLAVICENCIO,META,3153665567,CALLE 27 38 90 Cómo llegar,Cultivo de arroz
G Y G Golden Investment Sas,CALI,VALLE,(2)5240130,CARRERA 56 13 C 103 PI 3 Cómo llegar,Cria de ganado bovino y bufalino
Agricola San Riomar S A S,APARTADO,ANTIOQUIA,(4)8288282,CARRERA 109 C 100 15 ED OCEA OF 01 Cómo llegar,Cultivo de platano y banano
Agriservicios Del Valle S A S,ZARZAL,VALLE,3103864470,CALLE 13 4 06 CORR LA PAILA Cómo llegar,Actividades de apoyo a la agricultura
Reforestadora Del Sinu Sucursal Colombia,BOGOTA,BOGOTA,(1)3257300,CARRERA 7 71 52 TO A Cómo llegar,Silvicultura y otras actividades forestales
Japio Garces Y Compania S C A,CALI,VALLE,3117204346,CARRERA 100 16 20 502 O Cómo llegar,Cultivo de caña de azucar
Canali S A S,SANTA MARTA,MAGDALENA,(5)4329900,VIA GAIRA KM 2 Cómo llegar,Cultivo de platano y banano
Inversiones Alitos Sas,SANTA MARTA,MAGDALENA,(5)4329900,VIA GAIRA KM 2 Cómo llegar,Cultivo de platano y banano
Semillas Elite De Palma Para Las Americas Sas,BOGOTA,BOGOTA,(1)7449089,CARRERA 9 74 08 OF 208 Cómo llegar,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
Yasa S A S,COTA,CUNDINAMARCA,(1)5185634,CALLE 80 1 5 VIA SIBERIA PARQUE AGROINDUSTRIAL DE OCCI Cómo llegar,Cultivo de flor de corte
Inversiones Rodriguez Ruiz R R S A S,VENTAQUEMADA,BOYACA,3124810030,CARRERA 5 5 72 BARRIO CENTRO Cómo llegar,Explotacion mixta (agricola y pecuaria)
Exfor S A S,RIOSUCIO,CALDAS,3137579704,CALLE 9 11 A 50 Cómo llegar,Servicios de apoyo a la silvicultura
Unique Collection S A S,BOGOTA,BOGOTA,(1)7452330,VIA COTA KM 4 Cómo llegar,Cultivo de flor de corte
Agricola Las Azores Sas,MEDELLIN,ANTIOQUIA,(4)4440009,CARRERA 43 A 19 17 P 12 Cómo llegar,Cultivo de platano y banano
Agricola Circasia S A S,CHIA,CUNDINAMARCA,3208302485,LUGAR KM 1 5 VIA CHIA CAJICA COSTADO OCC OXUS CENTRO EMPRESARIAL OFC 51 Cómo llegar,Cultivo de flor de corte
Servicios Agromecanicos De Occidente S A S Serviagro,PALMIRA,VALLE,(2)5222008,CALLE 10 16 309 CORR LA TORRE Cómo llegar,Actividades de apoyo a la agricultura
Forestal Monterrey Colombia S A S,BARRANQUILLA,ATLANTICO,3102512405,CALLE 77 B CR 57 103 OF1902 Cómo llegar,Otros cultivos permanentes n c p
Avofresh Colombia Zomac S A S,URRAO,ANTIOQUIA,3164300942,LUGAR KM 15 VDA LA CARTAGENA URRAO Cómo llegar,Cultivo de frutas tropicales y subtropicales
Pollo Plus C I S A,BUCARAMANGA,SANTANDER,3174336064,CALLE 37 8 23 Cómo llegar,Cria de aves de corral
Agmo Sas,BOGOTA,BOGOTA,(1)6919932,CARRERA 15 79 76 OF 301 Cómo llegar,Cultivo de cereales (excepto arroz) legumbres y semillas oleaginosas
Angela Serrano De Quintero E Hijos Sca,BUCARAMANGA,SANTANDER,3138878451,CARRERA 29 40 53 Cómo llegar,Explotacion mixta (agricola y pecuaria)
Agropecuaria Yerbazal S A,MEDELLIN,ANTIOQUIA,3116156296,CARRERA 77 33A 83 Cómo llegar,Cultivo de platano y banano
Servicios Cartama S A S Zomac Bic,ANSERMA,CALDAS,3146201893,LUGAR SALIDA A SALAMINA VDA BELLA VISTA Cómo llegar,Cultivo de frutas tropicales y subtropicales
Guamito S A S,MEDELLIN,ANTIOQUIA,(4)5538331,CARRERA 35 15 B 143 P 6 OF 604 Cómo llegar,Cultivo de flor de corte
