Empresa,Area,Ubicacion,Descripcion
Vivero Santiago La Cuya S.A.,Agricultura / Pesca / Ganaderia,"San Jose Pinula, Guatemala","Somos una empresa con conciencia ecologica, producimos y conercializamos a partir de madera obtenida responsablemente articulos de exterior, para jardineria, decoracion y unidades de construccion para el disfrute del exterior, como pergolas, modulos y casas de juego, carports, entre otros."
INAGRO,Agricultura / Pesca / Ganaderia,"Antigua Guatemala, Sacatepequez","Somos una empresa lider en el suministro de insumos de riego, agroquimicos, asi como produccion y distribucion de productos agricolas en el area de Sacatepequez."
Jose Padilla,Agricultura / Pesca / Ganaderia,"San Miguel Petapa, Guatemala","Es una empresa en la que se enfoca en la comercializadora de granos y productos agricolas, exportacion de cafes especiales, comerciales y de subasta,"
Gambore,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Empresa de origen Guatemalteco, fundada en el ano 2002. Nos caracterizamos por respaldo, respuestas y soluciones inmediatas a las necesidades y requerimientos de nuestros clientes."
Dibene Sociedad Anonima,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Aportamos a nuestros clientes en el desarrollo de estrategias y programas de bioseguridad, limpieza y desinfeccion, haciendo uso de productos de alta calidad, aprobados internacionalmente, con los mejores rendimientos y respaldo tecnico profesional."
"Espiga, S.A.",Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Empresa Agroindustrial dedicada al crecimiento de gallina y huevo. Tambien en el negocio de cafe y fertilizantes (Gallinaza). Empresa en crecimiento, ambiente agradable de trabajo."
MERCON GUATEMALA,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala",Empresa dedicada a Comercio y Exportacion de Cafe ubicada a nivel mundial
Chiquita Guatemala,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Empresa dedicada a la produccion y exportacion de fruta, coordinacion a traves de la logistica y calidad."
"Provision de Equipos y Servicios, S.A.",Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Nuestro Proposito: Contribuir con el desarrollo de los sectores productivos en los paises de Centroamerica, aportando a la competitividad de las empresas conscientes de la realidad del entorno economico actual."
"COYOTE SPECIALTY COFFEE, S.A.",Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","SOMOS UNA EMPRESA DEDICA A IMPULSAR A PEQUENOS PRODUCTORES PARA EXPORTACIONES DE CAFE, E IMPULSAR EL BUEN CAFE DE GUATEMALA ALREDEDOR DEL MUNDO, BRINDANDO SERVICIOS DE TOSTADURIA DE CAFE"
"Compania Agricola Industrial Aguna, S.A.",Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Aguna es una empresa lider especializada en el cultivo, fabricacion y comercializacion de jugos 100% naturales de la mejor calidad, elaborados con frutos 100% nacionales Desde el 2002 Aguna se a dedicado a la investigacion, innovacion e implementacion de formulas 100% naturales para garantizar el sabor, textura y acidez de sus jugos de naranja y limon. Siendo la Naranja su principal producto. En un pais en el que mas del 70% de la naranja que se consume es importada desde Honduras; Aguna tiene la mayor ventaja competitiva en el mercado pues cuenta con su propia finca citricola que consta de mas de 36 caballerias sembradas con naranja y limon, en la actualidad esta finca produce al ano 13 millones de frutos de la mas alta calidad."
Agropecuaria Integral S.A.,Agricultura / Pesca / Ganaderia,"Chiquimula, Chiquimula","Compra venta de agroquimicos, semillas para granos basicos."
"Iexcom, S.A.",Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","La empresa se dedica a la agro industria. Tenemos mas de 50 anos en este ramo, principalmente en los cultivos de cafe y hule.El trabajo es de organizar operaciones Estaria directamente trabajando con el gerente"
Corporacion Proyectos S.A,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Somo una empresa de desarrollo de proyectos y asistencia para la industria. Dedicada a dar servicio a sus clientes en el area administrativa, logistica , contable , tecnica y comercial. Nos caracterizamos por la seriedad y compromiso que brindamos a nuestros clientes , con la finalidad de fidelizar su organizacion."
"Delicarnes,S.A.",Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala",Produccion y Distribucion Carne de Res
Cascara de Coco,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala",Empresa dedicada a la exportacion de cascara de coco.
Distribuidora y Comercializadora de Oriente S.A.,Agricultura / Pesca / Ganaderia,"Zacapa, Zacapa",Empresa Lider en la distribucion de Alimentos de Primera y Segunda necesidad a los empleados de nuestros clientes (Empresas)
"Maruagro, .S.A.",Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Maruagro es una empresa Guatemalteca, dedicada a la importacion y exportacion de maquinaria y suministros para el agro campo. Abastecemos a nuestros clientes con equipos de alta tecnologia, ofrecemos servicio tecnico, repuestos y capacitacion."
Agroindustria Legumex,Agricultura / Pesca / Ganaderia,"Chimaltenango, Chimaltenango",Somos una empresa agroindustrial exportadora de vegetales y frutas congeladas. Creemos en el recurso humano como la fuente mas importante del crecimiento y desarrollo.
Laboratorios LABIS,Agricultura / Pesca / Ganaderia,Extranjero,"Empresa farmaceutica veterinaria, con 30 anos de experiencia en el mecado de Centroamerica y el Caribe, contamos con una gama extensa de especialidades Farmaceuticas y Biologicas para uso veterinario en General"
"Exportadora de citricos, S.A.",Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","EXPORTADORA DE CITRICOS, S.A. Empresa fundad en el ano 2005 se dedica a la exportacion de limon persa con ooficinas administrativas en lna capital y planta de empaque en el km 119 ruta a retalhuleu."
Huevos de Mixco,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Somos una empresa AVICOLA de solido prestigio con producto fresco, certificado y de calidad."
Productora Agropecuaria KI,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Empresa Agricola dedicada a la produccion de frutas, Granos Basicos, Carnes Rojas, Citricos,Empresas Etc. La empresa tiene 11 anos de existir y las fincas productoras estan en el departamento de Peten, en Guatemala Capital, se tiene una bodega para administrar maduracion de los productos y oficinas para la distribucion del producto a nivel nacional, la ubicacion es 12 Av ""A"" 13- 70 Ciudad Nueva Z.2"
Agrocapri,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala",Comercializador de productos Agricolas
Nutrivesa,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Somos una empresa guatemalteca comprometida con el desarrollo de la agricultura en Guatemala. Te ofrecemos los mejores productos hecho a base de plnatas tales como Agroquimicos Guatemala, Fertilizantes Guatemala, Foliares Guatemala y Pesticidas Guatemala."
Semiagro,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala",Semiagro es una empresa comercializadora de semillas forrajeras. Comercializamos nuestras semillas en el area centroamericana y Mexico.
"Distribuidora El Roble Ld,S.A.",Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala",Distribucion de productos Agroveterinarios
Ingenio Azucarero,Agricultura / Pesca / Ganaderia,Guatemala,Ingenio Azucarero
AFG,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala",Exportacion de plantas
Consultores del Agro,Agricultura / Pesca / Ganaderia,"Barberena, Santa Rosa","Oportunidad de trabajo para agronomo con deseos de superacion, que recida en el area del departamento de Santa Rosa, para promover y vender productos de alto consumo y tecnologia de punta para uso agricola en general."
"Ingenio Palo Gordo, S.A.",Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Empresa dedicada a la produccion de azucar, con un ambiente laboral extraordinario, y siempre buscando la satisfaccion de los colaboradores como de la compania."
Industrias CEFA,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala",Empresa dedicada a Produccion Pecuaria (Aves y Cerdos).
"concesiones de alimentos, s.a.",Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala",Estamos desarrollando proyectos para Guatemala y Centroamerica en el sector gastronomico con nuestras marcas Mas Cafe y Hacienda Lo de Caceres. Para su funcionamiento cada unidad de negocio cumple con una funcion especifica y vital para la consecucion de nuestras metas empresariales
Holland Orchids,Agricultura / Pesca / Ganaderia,"Patzicia, Chimaltenango","Somos una empresa que se dedica a la produccion de orquideas del genero Cymbidium, nuestro producto final para exportacion son tallos florales. Contamos con variedad de colores y oferta a lo largo del ano, somos una empresa solida con tecnologia de punta."
Agrolaurel,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Empresa de servicios dedicada a dar soporte a 2 empresas Agroindustriales en lo que respecta a la parte Contable y Financiera, ubicada en la zona 9, con horario de trabajo de lunes a viernes de 7:30 a 4:30, sabado de 8:00 a 12:00, ambiente agradable de trabajo."
AGROCUMBRE,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Nos dedicamos a cultivar vegetales 100% organicos certificados, en un ambiente controlado y con altas normas de calidad para su comercializacion y venta dentro y fuera del territorio nacional."
Instituto Nacional de Bosques,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Promover y fomentar del desarrollo forestal del pais mediante el manejo sostenible de los bosques, la reforestacion, la industria y la artesania forestal, basada en los recursos forestales y la proteccion y desarrollo de las cuencas hidrograficas ."
Grupo Noj,Agricultura / Pesca / Ganaderia,"Quetzaltenango, Quetzaltenango","Venta por mayor y menor de fertilizante organico, elaborados con materiales locales, reduciendo asi sus costos y manteniendo sus nutrientes por mas tiempo en el suelo."
"Plantaciones de Cafe El Ferrol La Florida y Santa Elena, S. A.",Agricultura / Pesca / Ganaderia,"El Tumbador, San Marcos","Finca de 13 caballerias productora de cafe en el Tumbador San Marcos interesado en contratar un encargado de Beneficio con experiencia de mas de 5 anos, responsable, sin vicios, que se venga a vivir a la finca"
Corporacion San Diego,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","San Diego y Trinidad, orienta sus actividades a producir y transformar la cana de azucar en productos energeticos, entre los que destacan la produccion de azucar y la generacion de energia electrica."
carniceriasbenjamin,Agricultura / Pesca / Ganaderia,"Mixco, Guatemala",Empresa seria contratara 10 carniceros con experiencia interesados comunicarse a los telefonos 41493945 - 42671317
"Tecnicas de Innovacion Agricola, Sociedad Anonima",Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Ofrecemos a los clientes una amplia gama de productos, agroquimicos de alta calidad a precios competitivos, Equipo de fumigacion y amplia gama de opciones"
CRAFTOP GUATEMALA S.A,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","CRAFTOP es la marca de los expertos en equipos de jardineria y agricultura. Desarrollamos, fabricamos y distribuimos equipos para jardineria y agricultura."
"Pantaleon,S.A.",Agricultura / Pesca / Ganaderia,"Santa Lucia Cotzumalguapa, Escuintla","Empresa Agroindustrial ubicada en Santa Lucia Cotz, Escuintla, con un excelente ambiente laboral y oportunidades de crecimiento dedicada a la produccion de cana de azucar"
Tecno Insumos S.A.,Agricultura / Pesca / Ganaderia,"Palencia, Guatemala","Empresa de venta de Insumos Agricolas Organicos, control de plagas, manejo de veterinaria. La empresa tiene una trayectoria a nivel nacional con clientes como el ingenio pantaleon, deproingua entre otros."
"INNOVACIONES NUTRICIONALES, S.A.",Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Somos una empresa enfocada en ofrecer loas mejores soluciones para el cuidado del sector pecuario en la region. Por medio de la asesoria tecnica, la relacionan y la distribucion de productos segun la necesidad del cliente y materias primas para la nutricion y salud animal."
ayco san jorge sa,Agricultura / Pesca / Ganaderia,"Teculutan, Zacapa",somos una empresa dedicada a la produccion y exportacion de melones y sandias al mercado de los estados unidos de america. tenemos mas de 20 aos de experiencia en el mercado y estamos siempre en la busqueda de mejorar e innovar en nuestros procesos productivos.
Hortabella Sociedad Anonima,Agricultura / Pesca / Ganaderia,"Antigua Guatemala, Sacatepequez","Hortabella es una empresa cien por ciento guatemalteca que, desarrolla, produce hortalizas y comercializa semillas de hortalizas de alta calidad en el fertil suelo de Antigua Guatemala. ."
Grupo Duwest,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","- Grupo Duwest es una corporacion en sociedad con DuPont(r) con mas de 50 anos de experiencia. Nuestro equipo, con mas de 800 colaboradores, somos lideres en el sector agricola en la manufactura, mercadeo, distribucion y comercializacion de productos protectores de cultivos, propios y de otras multinacionales en Centro America, El Caribe y America del Sur. Contamos con una planta industrial para el sector agricola, donde se llevan a cabo procesos de sintesis y formulacion. Buscamos talento competitivo que desee alcanzar sus objetivos, por medio del desarrollo profesional. !Se parte de nuestro equipo!"
"Ingenio Magdalena, S.A.",Agricultura / Pesca / Ganaderia,"Escuintla, Escuintla","Desarrolla y comercializa productos alimenticios, agricolas y energeticos, comprometido con la sostenibilidad del negocio, el desarrollo social y medioambiental. Por tal razon, todas las acciones que realiza se caracterizan por actuar bajo los principios de honestidad, humildad y pasion por los logros; innovando constantemente su negocio, analizando, investigando y adaptando sus productos y servicios a las necesidades latentes del mercado."
DEMAGUSA,Agricultura / Pesca / Ganaderia,"Mixco, Guatemala","Somos lideres en la produccion de harina de maiz y tortillas, asi como un importante jugador en la categoria de panes planos o flatbreads como: wraps, naan, pan pita, chapatti, base de pizza, etc.; ademas de otros alimentos como arroz, snacks, pastas, condimentos y palmitos."
Pio Lindo,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Inicia operaciones en 1958 como una empresa familiar, actualmente es una corporacion con presencia en Centroamerica y El Caribe. Su objetivo es brindar a traves de sus unidades de negocio alimentos para consumo humano y alimentos balanceados para animales que cumplan con los mas altos estandares de calidad, aportando de esta forma a la nutricion en la region y al desarrollo de las comunidades a traves de generacion de empleo."
Foragro,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Fundada en 1988, por un grupo de emprendedores guatemaltecos con una vision en comun Contribuir al desarrollo agricola de nuestro pais a traves de productos que protegen e incrementan la seguridad en la produccion de los cultivos. Somos una empresa lider en el mercado, empleador por eleccion y con grandes oportunidades de crecimiento laboral y profesional, con expansion a nivel regional."
Finca melonera el Platanar,Agricultura / Pesca / Ganaderia,Jutiapa,"Dedicada a la agricultura, produccion de frutas."
"Servicios Diversos del Campo,S.A.",Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala",Empresa dedicada al sector Agroindustrial
Grupo Inco,Agricultura / Pesca / Ganaderia,"Antigua Guatemala, Sacatepequez","Empresa dedicada a la produccion, distribucion y comercializacion de vegetales"
"Delicarnes, S. A.",Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Somos una empresa dedicada a la transformacion de la carne de res, con procesos certificados que se rigen a las normas Higienicas de manejo de alimentos y ambientales"
Finca Santa Sofia,Agricultura / Pesca / Ganaderia,Peten,"Vision Ser una empresa lider en la actividad forestal, en el area del Norte-sur de Guatemala, cultivando plantas y brindando servicios de calidad, que garanticen la satisfaccion total de nuestros clientes. Mision Garantizar la adquisicion de plantas y servicios forestales de calidad, mediante el uso de tecnologia de una manera eficiente y rentable, para satisfacer las necesidades de clientes internos y externos."
Exportadora Santander,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Somos una empresa dedicada a la Exportacion de Cafe, mango, ganaderia y entre otros"
"Exportadora Atlantico, S.A.",Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala",Empresa agricola dedicada al cultivo y exportacion de fruta para exportacion
Hacienda,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala",Empresa dedicada a la venta de productos pecuarios
Productos Madelyn,Agricultura / Pesca / Ganaderia,Guatemala,Empresa dedicada al ramo de la Ganaderia.
Grupo Corporativo Santa Ana,Agricultura / Pesca / Ganaderia,Escuintla,Somos una Empresa dedicada a la elavoracion y produccion de alimentos de consumo masivo.
"Cafe de Origen, S. A.",Agricultura / Pesca / Ganaderia,Guatemala,"Cafe de Origen es una empresa fundada en los anos 90`s, por un grupo de caficultores que tenian como objetivo principal apoyar la produccion y exportacion de cafe a nuevos mercados."
Alimentos y Carnes San Isidro,Agricultura / Pesca / Ganaderia,"San Lucas Sacatepequez, Sacatepequez",Productores de ganado Porcino.
"Especialidades Agricolas de Guatemala, S.A.",Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Somos una empresa de tradicion familiar con 46 anos de experiencia en el campo de fertilizantes y nutricion vegetal. En la actualidad tambien ampliamos nuestra linea de productos contando tambien con fertilizantes foliares y liquidos, herbicidas, fungicidas, insecticidas, entre otros."
Ingenio Palo Gordo,Agricultura / Pesca / Ganaderia,"San Antonio Suchitepequez, Suchitepequez",IPG es la empresa que genera mas empleo en Suchitepequez y genera el mayor movimiento economico en la epoca de zafra.
plantas arco iris,Agricultura / Pesca / Ganaderia,"San Jose Pinula, Guatemala",empresa dedicada a la exportacion de plantas ornamentales.
"Naturaceites, S.A.",Agricultura / Pesca / Ganaderia,"El Estor, Izabal","NaturAceites es la empresa referente en la produccion sostenible de aceite de palma en Guatemala con 30 anos de experiencia. Actualmente opera en tres areas ubicadas en Fray Bartolome de las Casas y Panzos en Alta Verapaz, el Estor en Izabal y San Luis en Peten. Cuenta con tres plantas beneficiadoras de aceite en Fray Bartolome de las Casas, el Estor y Panzos."
"Naturaceites, S.A.",Agricultura / Pesca / Ganaderia,"El Estor, Izabal","NaturAceites es la empresa referente en la produccion sostenible de aceite de palma en Guatemala con 30 anos de experiencia. Actualmente opera en tres areas ubicadas en Fray Bartolome de las Casas y Panzos en Alta Verapaz, el Estor en Izabal y San Luis en Peten. Cuenta con tres plantas beneficiadoras de aceite en Fray Bartolome de las Casas, el Estor y Panzos."
"Rosmar, S.A.",Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","La empresa Rosmar, S,A, es una empresa fundada 1997 y se dedica exclusivamente al cultivo de banano en la costa sur de Guatemala. contamos con oficinas en la ciudad de Guatemala y Escuintla"
TILAWA GROUP,Agricultura / Pesca / Ganaderia,"Mixco, Guatemala","COMPANIA EXTRANJERA TRANSNACIONAL CON SEDE EN VARIOS PAISES PRODUCTORA Y DISTRIBUIDORA DE FERTILIZANTES, UNA DE SUS OFICINAS SEDE EN GUATEMALA. TRABAJAMOS BAJO LA PREMISA DE PROGRAMAS DE CALIDAD, SEGURIDAD Y MEDIO AMBIENTE. BUSCAMOS UNA PARTICIPACION PROTAGONISTA DE NUESTRO CAPITAL HUMANO CON UN ALTO COMPROMISO POR ESTOS VALORES Y OTROS DE LA COMPANIA."
Plantex Guatemala,Agricultura / Pesca / Ganaderia,"San Juan Chamelco, Alta Verapaz","Somos una empresa que produce desde 1990, en la zona nor - oriente del pais, cafe, cardamomo, cacao, pimienta, vainilla, leather leaf. Comprometidos con el ambiente y la calidad se cuenta con la certificacion ISO 14,000; ISO 9001 - Certificacion - Sistemas de gestion de calidad. ISO 9001:2008; (SGC). Proponemos no un trabajo, si no una familia que se esmera por la produccion y la calidad de sus frutos, de sus cosechas y por mantener una imagen en el mercado exterior."
Agrocentro,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala",Frabricacion de plaguicidas y otros productos quimicos de uso agropecuario
"Plantaciones del Sur, S.A",Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Somos una empresa dedicada a la produccion y comercializacion de alimentos balanceados para bovino, porcino, avicola que se identifica con su marca lider NUTRAMIX."
Avicola Fatima S:A,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Avicola Fatima, es una empresa dedicada a la comercializacion de huevo fresco e inocuo, distribuimos a clientes institucionales, mayoristas y minoristas"
Semuy Export,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Somos una empresa que se dedica a la exportacion de semillas, nuestra mision principal es exportar productos de calidad para satisfacer las necesidades de nuestros clientes."
Finca Mirador,Agricultura / Pesca / Ganaderia,"Taxisco, Santa Rosa","Desarrollo de ganado bovino, manejo de pastos para alimento del ganado, produccion de leche y carne de calidad, contribuyendo asi al bienestar del pais de Guatemala"
classic guatemala sa,Agricultura / Pesca / Ganaderia,"Usumatlan, Zacapa",empresa agroindustrial fundada en 2002 y decidada a la produccion y exportaciones de melones y sandia al mercado de USA y otros. Operando en el area de Zacapa y El Jicaro el progreso con planteles de empaque en ambas fincas. Sistema de riego tecnificados y demas.
BIOCOFYA-UNION BARRIOS,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Somos la empresa lider en la fabricacion de fertilizante organico, pioneros en Guatemala, estamos comprometidos con nuestros clientes para ofrecerles productos de primera calidad, amigables con el ambiente, y con la mejor relacion costo beneficio. Contamos con bodegas regionales, una amplia red de distribuidores, y un equipo tecnico a disposicion de nuestros clientes. Nuestros productos cuentan con registro en el MAGA, y nuestro producto lider Fertilizante Organico Biocofya cuenta con registro de insumo apto para su uso en agricultura organica, extendido por Mayacert."
Finca de Rosas,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Fincas dedicadas a la produccion y exportacion de Rosas. Empresas calificadas al Decreto 29-89, ley de Maquilas y Exportadoras."
"Melones de Zacapa, S.A.",Agricultura / Pesca / Ganaderia,"Zacapa, Zacapa","Empresa nueva, iniciando operaciones de melon en el valle de la Fragua/Quebrada seca. Nuestra idea es convertirnos en productores de melon de calidad y con enfoque al consumidor final."
Oirsa,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","El OIRSA es un Organismo Internacional especializada en sanidad agropecuaria. Fundado hace mas 60 anos para brindar cooperacion tecnica y financiera a los Ministerios y Secretarias de Agricultura y Ganaderia de sus nueve Estados miembros, en la proteccion y desarrollo de sus recursos agropecuarios."
"Teyca, s.a.",Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Empresa dedica a la produccion, comercializacion y distribucion de alimentos para animales."
"Agricola San Jose, S. A.",Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Es una empresa con mas de 25 anos en la agricultura, que ofrece estabilidad laborar,"
"Monticiello, S.A.",Agricultura / Pesca / Ganaderia,Chimaltenango,"Empresa dedicada a la produccion de Rosas,Gerberas y tulipan."
"Agricola San Victor, S. A.",Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala",Empresa dedicada al area agricola.
"Nutrientes y Fertilizantes, S.A.",Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Empresa de clase mundial, lider en Centroamerica por su aporte al desarrollo del sector agropecuario. Reconocida por su calidad de atencion, por el desarrollo de su personal, por mantener relaciones comerciales de largo plazo con sus proveedores, por generar utilidades y remuneraciones justas para sus accionista y trabajadores, y por su contribucion a la conservacion del medio ambiente. Distribuidores para Guatemala de Productos Veterinarios de reconocidas casas mundiales Productos MERIAL: IVOMEC F, GOLD Y Multi Especies: Desparasitando su ganado IVOMEC EPRINEX: Desparasita, Sin residuos en leche. ECTOLINE: Olvidese de las garrapatas y moscas del ganado. FRONTLINE: Adios a las pulgas y garrapatas en gatos y perros. HETOPAN: El Reconstituyente confiable. BIODYL: Fortalece a sus animales inmediatamente. CARDOMEC: Desparasite a su perro de un bocado. KETOFEN: Dolor, Inflamacion y Fiebre controlados de una vez. SPECIORLAC: El mejor secado de la vaca. EQVALAN: Para equinos de clase. TETRADUR: Oxitetraciclina L.A. Una aplicacion cada 6 dias SUANOVIL: Antibiotico diferente para soluciones dificiles STOMORGYL: Tratamiento efectivo para Perros consentidos. Productos BROVEL: Calectamin, Electamin, Vitaedol, Mastinox, Quimobac, Super Giro Test, Norandren, Melvinac, Fibro Ress, Avizin, Deltamicin. Productos Walter Ritter: WARIT B Productos SAGRISA: MOTOFUMIGADORAS HONDA Productos DIAMOND V: Diamond V XP: aditivo para la alimentacion animal seguro y totalmente natural. ayuda a optimizar la digestion de los alimentos, mejorando la nutricion del ganado de leche, de engorde, cerdos y aves de corral. Fertilizantes foliares : BIOMIN, HUMAX,BUFFERMIN MULTIAGRO, PROMOT Sales Minerales TORTUGA: FOSBOVI ENGORDA, FOSBOVI SECA, FOSBOVI REPRODUCAO, FOSBOVIHNO ATENDIDOS POR UN EQUIPO PROFESIONAL QUE LE ASESORA, SUGIERE Y SOLUCIONA SUS NECESIDADES EN EL CAMPO AGROPECUARIO."
Fruvegua S.A.,Agricultura / Pesca / Ganaderia,"Antigua Guatemala, Sacatepequez","Piscicultura, ganaderia y Abarroteria - Crianza y engorde de Tilapia - Crianza y engorde de Pelibueyes - Abarroteria/Mini-Supermercado"
Finca de Rosas,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Fincas dedicadas a la produccion y exportacion de Rosas. Empresas calificadas al Decreto 29-89, ley de Maquilas y Exportadoras."
"Flores Bohemia, S.A.",Agricultura / Pesca / Ganaderia,Sacatepequez,"Flores Bohemia es una empresa con mas de 20 anos de trayectoria que se ha dedicado a la produccion y exportacion de flores frescas. Nuestro compromiso con la calidad y nuestro deseo de mejorar constantemente, nos ha permitido convertirnos en un proveedor lider para nuestros clientes operando en Norteamerica y Europa."
Florana Farms S.A,Agricultura / Pesca / Ganaderia,Guatemala,"Florana Farms S.A. produce una amplia gama de rosas super premium, follajes, flores tropicales y de bambu. Fundada hace 20 anos, somos una empresa dinamica e innovadora ecuatoriana que ofrece productos de alta calidad con los avances tecnologicos y la aplicacion de elementos organicos que protegen no solo a nuestros trabajadores, sino tambien el medio ambiente."
