Empresa,Area,Ubicacion,Descripcion
Foragro El Salvador S.A. de C.V.,Agricultura / Pesca / Ganaderia,"La Libertad, La Libertad","Se dedica a la produccion y distribucion de productos para la proteccion y saneamiento de cultivos, la meta es ser una alternativa que permita a los agricultores precios competitivos y una expectativa alta de calidad en todo momento"
Inversiones Los Cuatro S. A de C.V,Agricultura / Pesca / Ganaderia,San Salvador,Empresa dedicada a actividades de Asesoramiento empresarialy en materia de gestion.
Lacteos San Judas,Agricultura / Pesca / Ganaderia,"Guazapa, San Salvador","Compra, elaboracion y venta de productos lacteos."
Monsanto el Salvador S.A. de C.V.,Agricultura / Pesca / Ganaderia,San Salvador,"Compania lider en tecnologia para el sector agricola con mas de 100 anos de experiencia en el mundo. Trabajamos de la mano de los agricultores para conocer sus necesidades, ofreciendoles herramientas tecnologicas que le permitan producir mas alimentos, utilizando menos recursos y mejorando la calidad de vida de las personas"
Foragro,Agricultura / Pesca / Ganaderia,Cuscatlan,Somos una empresa dedicada a la venta de productos agroquimicos con presencia Regional. Con mas de 25 anos de trayectoria nos caracterizamos por ser una empresa con solidas bases y prestigio dentro de la industria.
Finca Belgica,Agricultura / Pesca / Ganaderia,Sonsonate,Empresa dedicada a la exportacion de plantas Ornamentales
Distribuidora de Frutas y Verduras Valladares Ascencio,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador","Rubro: Empresa dedicada a la comercializacion por mayor de frutas y verduras. Mision: Ser reconocidos como una empresa seria y de prestigio que ofrece productos frescos y de calidad para las cadenas de restaurantes, hoteles y empresas dedicadas a producir alimentos a base de frutas a nivel nacional. Vision: Posicionarnos como la empresa distribuidora de frutas y verduras de mayor cobertura a nivel nacional Vision:"
REGPA s.a. de c.v.,Agricultura / Pesca / Ganaderia,La Libertad,Beneficiadores de Cafe
Monsanto el Salvador S.A. de C.V.,Agricultura / Pesca / Ganaderia,San Salvador,"Compania lider en tecnologia para el sector agricola con mas de 100 anos de experiencia en el mundo. Trabajamos de la mano de los agricultores para conocer sus necesidades, ofreciendoles herramientas tecnologicas que le permitan producir mas alimentos, utilizando menos recursos y mejorando la calidad de vida de las personas"
Tierra Verde,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador",Reciclaje de desechos organicos. Venta de abono. Asesoria en manejo de deshechos y utilizacion de abono organico.
Biotecnologia de El Salvador S.A. de C.V.,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador","fabricacion y comercializacion de probioticos para aves, cerdos, ganado, peces, camarones, y probioticos para tratamiento de lagunas de oxidacion, trampas de grasa, y aguas negras."
Sicafe S.A. de C.V.,Agricultura / Pesca / Ganaderia,"Apaneca, Ahuachapan","Empresa de alto reconocimiento a nivel mundial dedicada a la produccion, beneficiado y exportacion de cafe. Nosotros en Sicafe nos enfocamos unicamente en la produccion de la mejor calidad de cafe para competir a nivel mundial."
"INSO,",Agricultura / Pesca / Ganaderia,"Santiago Nonualco, La Paz",Nos dedicamos al cultivo y produccion de plantas ornamentales; aboles frutales y forestales. Distribuimos maceteria y accesorios para jardin. Nuestra mision es poder generar una experiencia placentera y relajante al momento de adquirir nuestros productos.
PYBES DE R.L. DE C.V.,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador",Somos una empresa que se dedica al rubro agricola centrando los esfuerzos en el cultivo de platano ofreciendo al mercado local e internacional productos de la mas alta calidad.
Avinsa,Agricultura / Pesca / Ganaderia,"Soyapango, San Salvador","Somos una compania dedicada a la produccion y comercializacion de productos de consumo masivo en El Salvador, con enfoque a valores y satisfaccion de nuestros clientes."
"NUTRICION AVICOLA, S.A. DE C.V.",Agricultura / Pesca / Ganaderia,"Colon, La Libertad","Km. 27 1/2 Carretera a Sonsonate, Lourdes Colon, La Libertad"
Productos Agroalimenticios S.A DE C.V,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador",---
Quality Grains S.A. de C.V.,Agricultura / Pesca / Ganaderia,"San Marcos, San Salvador",Torrefactora de Cafe
Organismo Internacional Regional de Sanidad Agropecuaria,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador","El Organismo Internacional Regional de Sanidad Agropecuaria (OIRSA) es una institucion intergubernamental especializada en las areas de salud animal, sanidad vegetal, servicios cuarentenarios e inocuidad de los alimentos. El OIRSA fue fundado en 1953 para brindar cooperacion tecnica y financiera a los Ministerios y Secretarias de Agricultura y Ganaderia de sus Estados miembros, en la proteccion y desarrollo de sus recursos agropecuarios. Esto para garantizar una produccion alimentaria sana y segura."
HIDROSAGARRA,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador","EMPRESA IMPORTADORA Y COMERCIALIZADORA DE EQUIPOS ,SISTEMAS DE BOMBEO Y PRODUCTOS PARA , MANEJO Y TRATAMIENTO DE AGUA . UBICADA EN SAN SALVADOR . ASESORIA TECNICO Y SERVICIO PARA INSTALACION , MANTENIMIENTO Y REPARACION DE EQUIPOS Y SISTEMAS DE BOMBEO , MANEJO Y TRATAMIENTO DE AGUA"
Florana Farms S.A,Agricultura / Pesca / Ganaderia,San Salvador,"Florana Farms S.A. produce una amplia gama de rosas super premium, follajes, flores tropicales y de bambu. Fundada hace 20 anos, somos una empresa dinamica e innovadora ecuatoriana que ofrece productos de alta calidad con los avances tecnologicos y la aplicacion de elementos organicos que protegen no solo a nuestros trabajadores, sino tambien el medio ambiente."
Empacadora la Union,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador",Somos una empresa dedica al empaque de productos alimenticios con 8 anos de experiencia en el medio.
Agrosania,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador",Empresa Fabricante y Comercializadora de Productos Lacteos
"Borgonovo Hermanos, S.A.",Agricultura / Pesca / Ganaderia,"La Libertad, La Libertad",Produccion y comercializacion de cafe y frutas
"Tecnologia, Comercio y Servicio, SA DE CV",Agricultura / Pesca / Ganaderia,"Soyapango, San Salvador","Somos un grupo coorporativo, que se dedica a la comercializacion en diferentes rubros, con 18 anos en el mercado nacional y extranjero, con el objetivo de generar oportunidades de empleo en el pais."
"Sociedad Cooperativa Lacteos Morazan, R.L. de C.V.",Agricultura / Pesca / Ganaderia,"Jocoro, Morazan",Cooperativa de ganaderos dedicada a la fabvrixacion de productos lacteos
Agrinter S.A de C.V,Agricultura / Pesca / Ganaderia,"La Libertad, La Libertad","""Formamos parte del grupo Zablah y nuestro giro es la distribucion de productos agropecuarios"""
Agrocentro America El Salvador,Agricultura / Pesca / Ganaderia,La Libertad,"Agrocentro es una empresa salvadorena que se dedica a la venta de productos agricolas, enfocada principalmente en productos medicinales y similares del ganado vacuno."
Diavetsa Division Agricola,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador","Empresa dedicada a la Importacion y Distribucion de Agroquimicos y Fertilizantes Foliares para la Proteccion Fitosanitaria de Cultivos como: Cafe,Cereales, Frutales, Hortalizas y Cana de Azucar."
Amusal,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador",ONG dedicada a erradicar el hambre en las zonas mas pobres del Pais
"Nutricion Avicola, S.A. de C.V.",Agricultura / Pesca / Ganaderia,"Colon, La Libertad",Somos una empresa del sector Agroindustrial especificamente en la rama de la avicultura que se dedica a la Produccion y comercializacion de huevos fresco
AVICOLA SB.,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador","Empresa fundada desde hace mas de 40 anos, con negocios relacionados entre si, todos dedicados a la Avicultura, nos caracterizamos en producir y comercializar huevos de primera calidad."
AGRONUTRIENTES DE EL SALVADOR,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador",Agronutrienes de el Salvador es una empresa con tecnologia de punta. En la agricultura consideramos e intervenimos en los siguientes factores: A) Fertilidad de suelos B) Control fitosanitario C) Manejo agronomico. D) Fertilizacion .
AGROQUIIMO SA DE CV,Agricultura / Pesca / Ganaderia,"San Francisco Gotera, Morazan","Empresa dedicada al area de la AgroIndustria con mas de 10 anos de experiencia en el mercado con el objetivo de expandir nuestras operaciones a nivel nacional, con la mas alta calidad de nuestros servicio y productos"
"Inversume, S.A. de C.V.",Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador","Distribuidor autorizado de Bayer Cropscience para El Salvador de las lineas Agricola, productos para el control de plagas Urbanas, industriales y residenciales (cucarachas, ratones, termitas, hormigas, zancudos, moscas, etc.) y productos Veterinarios de la marca Quibor. Distribuidor de Resinas y llenantes para TENERIAS. Venta de Cromosal B y Oxido de hierro sintetico (pintura en polvo)."
Lacteos La Lucania,Agricultura / Pesca / Ganaderia,La Libertad,"Empresa, dedicada a la fabricacion y comercializacion de productos lacteos."
Hacienda San Joaquin,Agricultura / Pesca / Ganaderia,"Acajutla, Sonsonate","Empresa dedicada a la ganaderia, con mas de 20 anos de existencia. ubicada a pocos metros del desvio a los cobanos en la carretera que de Acajutla conduce a Sonsonate."
"Inverpinos, SA de CV",Agricultura / Pesca / Ganaderia,La Libertad,"Empresa Salvadorena dedicada a la avicultura. Nuestra mision es ""Producir y comercializar pollo de engorde vivo con altos estandares de nutricion e higiene, garantizando a nuestros clientes un producto de calidad, a precios competitivos en el mercado nacional, comprometidos con el bienestar de la comunidad, empleados y rentabilidad de nuestros accionistas"". Nuestra vision: ""Lograr el liderazgo en la produccion y comercializacion de pollo de engorde vivo, a traves de la expansion de mercado en todo el territorio nacional, posicionando nuestra marca como opcion preferente y manteniendonos a la vanguardia en la industria avicola""."
Fertilizantes Nordic,Agricultura / Pesca / Ganaderia,"Aguilares, San Salvador","Empresa con presencia regional, dedicada a la comercializacion de productos de fertilizantes. ."
Cacahua Cafe y Miel,Agricultura / Pesca / Ganaderia,"Delicias de Concepcion, Morazan","Cacahua Cafe y Miel, es una empresa reciente dedicada a procesamiento de productos agricolas y pecuarios, especificamente Cafe y Miel de Abeja. Procesamos y comercializamos en nichos de mercados especificos, especialmente en la zona oriental y central del pais. manejamos estrictos estandares de calidad y especialmente se produce bajo Normas de Manejo Organico, desde 2007. Comercializamos los productos y sub productos de manera Etica y a precios Justos."
Vivero Xochicali,Agricultura / Pesca / Ganaderia,La Libertad,"Vivero Xochicali, se dedica la compra-venta-exportacion de plantas ornamentales, la empresa posee mas de 30 anos de fundacion."
Servicios al Campo S.A. de C.V.,Agricultura / Pesca / Ganaderia,San Salvador,"Nos dedicamos a la venta de agropecuaria. Detoxificadores de micotoxinas, promotores de crecimiento naturales, kits diagnosticos etc."
"Capitales Unidos, S.A. de C.V.",Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador","Capitales Unidos, es una empresa familiar que se dedica a la produccion, proceso, venta y exportacion de cafe de altura y de estricta altura. Asi mismo en el rubro de cafe ofrece los servicios de maquilado de cafe a terceros. Adicionalmente, con la marca Hortalizas Buena Vista, se dedica al cultivo y comercializacion de hortalizas, tales como: tomate de ensalada, tomate cherry, lechuga romana, lechuga escarola, y lechuga morada. Asi como tambien hierbas aromaticas tales como: Albahaca, Arugula, Eneldo, Cilantro, Perejil, Romero, Tomillo, entre otros."
Agropec SA de CV,Agricultura / Pesca / Ganaderia,San Salvador,"Produccion de Tilapia. Produccion de verduras, frutas y flores. Produccion de camaron"
Granja Avicola NutriAves,Agricultura / Pesca / Ganaderia,"Mejicanos, San Salvador",NutriAves es una empresa que nace a mediados de los anos 90 dedicada a la produccion y distribucion de productos avicolas.
unidad productiva,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador",una empresa dedicada al cultivo y compra del cafe y demas aranceles
Productos Alimenticios Sello de Oro SA DE CV,Agricultura / Pesca / Ganaderia,"Antiguo Cuscatlan, La Libertad","Empresa dedicada a la industria avicola regional, comprometida a ofrecer productos y servicios de la mas alta calidad y valor agregado a nuestros clientes, por medio de una organizacion dinamica, motivada y capaz con alto sentido de responsabilidad social y ambiental."
AVICOLA NUTRIAVES,Agricultura / Pesca / Ganaderia,"Mejicanos, San Salvador",Empresa con 20 anos en el mercado produciendo y distribuyendo productos avicolas de alta calidad.
Hacienda Loma de los Rios,Agricultura / Pesca / Ganaderia,---,Empresa dedicada a la produccion y comercializacion de Cafe.
DISTRIBUIDORA ISREAL,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador","Distribuidora Isreal, es un empresa con muchos anos a los servicios de comercializacion de productos de Frutas y Verduras a nivel nacional."
COAGRO S.A DE C.V,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador","Comercial Agropecuaria S.A de C.V (COAGRO) es una empresa dedicada a asistir al area agricola, veterinaria y pecuaria por medio de tecnologia agropecuaria de alta calidad y personas capacitadas para su implementacion."
NR CONSA S.A. de C.V.,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador",Fabricantes de fertilizantes quimicos y distribuidores exclusivos de equipo agricola. Con 30 anos de experiencia la empresa ha llegado a consolidarse en el rubro de distribucion agricola tanto nacional como a nivel de la region.
"La Gloria, S.A. de C.V.",Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador","Somos una empresa que por mas de 32 anos se ha dedicado al Cultivo de Cafe en El Salvador, contamos con fincas que nos brindan la mejor calidad de cafe."
COMPANIA AZUCARERA SALVADORENA,Agricultura / Pesca / Ganaderia,"Izalco, Sonsonate",Compania Azucarera Salvadorena es una empresa agroindustrial con 50 anos de experiencia en la produccion y comercializacion de azucar y subproductos derivados de la cana.
"CARAVELA MESOAMERICA, S.A. DE C.V.",Agricultura / Pesca / Ganaderia,"Ahuachapan, Ahuachapan","Empresa Multinacional del sector Cafetalero, con presencia en ocho paises de Latinoamericana(Colombia, Ecuador, Peru,Nicaragua, El Salvador, Guatemala, Honduras, Mexico), contamos con operaciones de importacion en Australia, Europa y Norte America. Nuestro equipo se conforma de mas de cien profesionales del cafe, operando casi cuarenta laboratorios en distintas localidades del mundo. Enfocados en la calidad y excelencia de sus productos."
ALCASA,Agricultura / Pesca / Ganaderia,"Nueva San Salvador, La Libertad","El rubro principal de esta empresa es el alquiler de silos para manejo y almacenaje de granos secos, asi como la recepcion y almacenaje de otros productos."
"CORPORACION INTER-AMERICANA, S.A.",Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador","Somos una empresa que produce y comercializa fertilizantes quimicos, agroquimicos, productos veterinarios y productos industriales de calidad, generando tecnologia y riqueza a nuestros clientes, a traves de un servicio tecnico, con etica profesional y trato personalizado."
maribelland1,Agricultura / Pesca / Ganaderia,"Ahuachapan, Ahuachapan",Agencia de reclutamiento experta en hacer test para comprobar que todo este en perfectas condiciones Agencia de reclutamiento experta en hacer test para comprobar que todo este en perfectas condicionesAgencia de reclutamiento experta en hacer test para comprobar que todo este en perfectas condicionesAgencia de reclutamiento experta en hacer test para comprobar que todo este en perfectas condicionesAgencia de reclutamiento experta en hacer test para comprobar que todo este en perfectas condicionesAgencia de reclutamiento experta en hacer test para comprobar que todo este en perfectas condicionesAgencia de reclutamiento experta en hacer test para comprobar que todo este en perfectas condiciones
Tecnico Mercantil SA de CV,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador","Representacion de maquinaria y equipos para Agricultura , Industria y Construccion"
"Mission Enterprise, S.A. de C.V.",Agricultura / Pesca / Ganaderia,Sonsonate,Granja camaronera y Planta empacadora de camaron.
"Cooperativa ""DOS MIL UNO"" de R. L.",Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador","La ASOCIACION COOPERATIVA DE PRODUCCION AGROPECUARIA Y SERVICIOS MULTIPLES DOS MIL UNO DE R.L. tiene como principal funcion social brindar apoyo a comerciantes de todo El Salvador en la importacion, venta y distribucion de productos agricolas, principalmente frutas como la sandia y el melon. En el Parqueo La Isla comerciantes nacionales y extranjeros brindan el servicio de distribucion por mayor y al detalle a vendedores y particulares de todo El Salvador, quienes reciben productos de la mayor calidad al mas bajo costo."
"Comercial Exportadora, S.A. de C.V.",Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador","Comercial Exportadora, S.A. de C.V. (COEX), es una compania especializada en la industria del cafe; sus actividades, inician en las plantaciones orientando a los productores acerca de los procedimientos para producir cafe de calidad a bajo costo, continuan con el proceso de este para exportarlo crudo, como materia prima de la Industria Tostadora y terminan cuando lo sirve listo para ser deliciosamente degustado en una taza."
Compania Azucarera Salvadorena,Agricultura / Pesca / Ganaderia,"Sonsonate, Sonsonate","Empresa Agroindustrial lider a nivel nacional en cuanto a calidad, produccion y respeto por el Medio Ambiente."
Dony Mar,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador",Somos una empresa que se dedica a la venta de mariscos en restaurante y hoteles y mercados trabajamos desde ya 25 anos y nuestra
"DISTRIBUIDORA EL CAMPESINO, S.A. DE C.V.",Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador","Empresa encargada a la distribucion de granos basicos a granel, asi como otros productos de consumo diario tales como frijol molido para pupusas, frijol molido para alimento diario, chocolates y otros"
Distribuidora SA de CV,Agricultura / Pesca / Ganaderia,La Libertad,Nuestra esta dedicada a distribuir productos agropecaruarios Grupo Calleja.
Agrinter S.A.de C.V.,Agricultura / Pesca / Ganaderia,La Libertad,"""Importacion y Distribucion de Productos Agropecuarios"""
Agroservicio Cangrejera,Agricultura / Pesca / Ganaderia,"La Libertad, La Libertad","Nace con la mision de ofrecer a sus clientes un excelente servicio, ofreciendo soluciones en lo Agricola, en lo Veterinario y Asesorias Tecnicas, que satisfagan la necesidad de nuestros clientes, con un servicio de primera, personalizados y con agilidad en el servicio."
Exportadora Pacas Martinez S.A.de C.V.,Agricultura / Pesca / Ganaderia,La Libertad,"Exportadora Pacas Martinez S.A. de C.V. es una empresa que se dedica al cultivo, procesamiento y exportacion de cafe especial."
Inversiones Elyana sa de cv,Agricultura / Pesca / Ganaderia,San Salvador,Venta de plantas ornamentales.
Termoquimica,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador",Somo una empresa nueva en la producccion de fertilizantes. En expansion
FertiMaya,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador",Somos una empresa en el rubro de insumos para agricultura. Con ambiente laboral estable y opciones de crecimiento.
"El Granjero, S.A.",Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador","Desde nuestra fundacion en 1968, hemos logrado desarrollar la infraestructura para alojar 1,300,000 aves de levante y postura; ademas la capacidad de comercializar su produccion a nivel nacional y regional."
Grupo Daktari,Agricultura / Pesca / Ganaderia,Extranjero,Somos una empresa con 15 anos en el mercado nos dedicamos a las pequenas especies como Clinica Veterinaria y Estetica canina ademas de dsitribuir de manera exclusiva en la peninsula todo lo que tiene que ver con medicina veterinaria Jaulas Transportadoras Rocky y productos Oster para estetica. vendemos de mayoreo a otras veterinaria y se hace servicio a granjas y ranchos ganaderos de la zona
Bioproductores S.A. de C.V.,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador",Somos criadores y exportadores de mariposas.
Diavetsa de CV,Agricultura / Pesca / Ganaderia,San Salvador,Empresa Distribuidora Agricola y Veterinaria.
Canaire inversiones,Agricultura / Pesca / Ganaderia,"Tonacatepeque, San Salvador",Se dedica a venta compra renta de bienes y raices
Grupo Mallo S.A. de C.V.,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador","Somos una empresa comprometida con el desarrollo agropecuario de El Salvador desde el ano 1992. Contamos con una linea completa de medicina veterinaria, destinadas a satisfacer las necesidades del sector avicola, porcino, ganadero, equino y animales de compania. Distribuimos una amplia variedad de accesorios veterinarios, accesorios para mascotas, accesorios para inseminacion artificial en cerdos y equipos para la tecnificacion y automatizacion de instalaciones porcinas entre otros. Creemos en el trabajo en equipo y la importancia que tiene para nuestra compania el Recurso Humano, por esto nos preocupamos por el bienestar de nuestros empleados contribuyendo con su desarrollo profesional y humano."
Virmax Mesoamerica,Agricultura / Pesca / Ganaderia,"Metapan, Santa Ana",Empresa exportadora de cafe especial.
APACHE S.A. DE C.V.,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador","Fue fundada en 1973, Dedicada al cultivo de cafe, que cubre ya cinco generaciones Encargandonos de la siembra, el corte, tostado, empacado, la comercializacion de nuestro cafe y preparacion de cafe especiales."
PROBISEGE,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador",Proveer bienes al Estado
Motores y Maquinaria de El Salvador SA de CV,Agricultura / Pesca / Ganaderia,"Sonsonate, Sonsonate","Somos una empresa dedicada a la venta al por menor y mayor de equipos agroindustriales como: molino de nixtamal, picadoras de zacate, desgranadoras de maiz, motores electricos, diesel y gasolina, etc."
Cafe Tuxpal,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador","Somos una empresa con mas de 150 anos de trayectoria en la industrai del cafe. Somos una empresa verticalemtente integrada desde la semilla hasta la taza, con operaciones en fincas de cafe, beneficio de cafe, tostaduria de cafe (Cafe Tuxpal) y tiendas de cafe (Viva Espresso)."
Red Fox Las Mercedes S.A. de C.V.,Agricultura / Pesca / Ganaderia,"Santa Ana, Santa Ana",Red Fox Las Mercedes S.A. de C.V. es una empresa agricola que se dedica al cultivo y exportacion de plantas ornamentales.
Agroservicio El Campesino,Agricultura / Pesca / Ganaderia,"Metapan, Santa Ana",Empresa dedicada a la comercializacion de insumos agricolas y productos y concentrados para animales.
SUKARNE EL SALVADOR,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador","Venta de productos carnicos por mayor, contamos con planta de produccion en Mexico y Centro America, nos especializamos en la comercializacion de productos de la mas alta calidad."
Corporacion Tecnidiesel S. A. de C. V.,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador","Empresa dedicada , a la veta de maquinaria pesada , renta de tractores , servicio de mantenimientos correctivos y preventivos de maquinaria y plantas generadoras , laboratorio de inyeccion y reconstruccion de motores."
"Topacio, sociedad anonima de capital variable",Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador","Ejercicio de agricultura, ganaderia y comercial. Impotar, exportar y distribuir todo tipo de materiales agricolas. Cultivo de toda clase de productos agricolas y su comercializacion. Comprar y vender toda clase de valores y participaciones, creditos, certificados o titulos."
INDUSTRIA CARNICA SALVADORENA S.A DE C.V,Agricultura / Pesca / Ganaderia,"Opico, La Libertad","Industrias de alimentos, encargada del procesamiento de carne de cerdo, a manera de posicionarse como el rastro #1 en el pais en materia de carne de cerdo."
"HAKUNA MATATA, S.A. DE C.V.",Agricultura / Pesca / Ganaderia,"San Julian, Sonsonate","Es una empresa innovadora en la agricultura tradicional del pais, somos pioneros en la implementacion de tecnologia en los cultivos y principalmente en el desarrollo de hidroponia a gran escala. Actualmente se produce lechugas (romana, escarola, y baby lechuga), guisquil, kale, chile jalapeno, ejote, hierbas aromaticas."
