Empresa,Area,Ubicacion,Descripcion
Enerplant de Panama SA,Agricultura / Pesca / Ganaderia,Chiriqui,"Nuestra organizacion tiene como base la empresa BIOTEC INTERNACIONAL S.A. de C.V., quien se encarga de Investigar, desarrollar, Formular y fabricar diferentes productos dentro de los cuales tenemos nuestros Bioinsumos reguladores de crecimiento organico con registro internacional otorgado por BCS OKO GARANTIE de Alemania. Comercialmente desde Bogota por medio de nuestra empresa Bioenerplant(r) S.A.S. - Bio-e atendemos los mercados de Colombia, Ecuador, Bolivia Venezuela y Australia, tambien tenemos presencia directa en Panama con Enerplant de Panama S.A., Brasil con Enerplant Comercial Importadora e Exportadora de Biofertilizantes Ltda. y Argentina con Enerplant de Argentina Ltda; ademas Biotec Internacional desde Monterrey, comercializa directamente en Mexico, Cuba y Estados Unidos. Nuestro target de clientes esta orientado a productores agroindustrales de Soya, Arroz, Banano, Cafe, Cana de Azucar, Palma de Aceite, Algodon, Cacao, Cebada, Maiz, Caucho, Flores, Pina, Fresa, Sandia, Hortalizas, Citricos, Frutales, Pastos y productores de carne y leche. Contamos con un importante equipo de tecnicos los cuales estan distribuidos por los diferentes paises en los que tenemos presencia comercial. En la presentacion comercial que envio adjunto podra observar las ventajas de nuestro producto organico, que se puede usar en cultivos tradicionales. Energyplant(r) se desarrollo para lograr cultivos mas productivos, mas eficientes y mejorar la calidad de las cosechas."
Cavenco Panama S.A.,Agricultura / Pesca / Ganaderia,Panama,"Distribuidora de productos e insumos agroveterinarios, asesoria y representacion."
Cabo Zarzo S.A,Agricultura / Pesca / Ganaderia,Panama,Empresa dedicada al cultivo y exportacion de pinas
Agro Pro Panama,Agricultura / Pesca / Ganaderia,Panama,"Venta de productos para la Ganaderia, Agricultura e Industria."
Empresas Moreno,Agricultura / Pesca / Ganaderia,Herrera,"Empresa que se dedica a la venta de productos veterinarios, equipos agricolas y a la produccion y venta de alimentos balanceados."
Grupo Cano,Agricultura / Pesca / Ganaderia,"Panama, Panama","Somos un grupo de empresas, entre las cuales se dedican a las siguientes actividades: Agropecuaria, Transporte, Inmobiliarias, entre otras."
"DELIFISH PANAMA, S.A.",Agricultura / Pesca / Ganaderia,"Arraijan, Panama Oeste",Venta y distribucion de productos carnicos y mariscos
"FAUNA PANAMA, S.A.",Agricultura / Pesca / Ganaderia,"Panama, Panama",VENTA DE PRODUCTOS Y SERVICIOS PARA MASCOTAS
Empresa panamena,Agricultura / Pesca / Ganaderia,"Arraijan, Panama Oeste","Importante empresa panamena del sector agropecuario, con mas de 60 anos de funcionamiento, brindando estabilidad y sustento a muchas familias panamenas."
KTABAY INTERNATIONAL CORP.,Agricultura / Pesca / Ganaderia,"Panama, Panama",Empresa dedicada a brindar servicios a barcos de pesca
Asociacion de Pequenos y Medianos Productores de Panama,Agricultura / Pesca / Ganaderia,"Balboa, Panama","Somos la Asociacion de Pequenos y Medianos Productores de Panama,luchamos para ayudar a mejorar la calidad de vida de los pequenos Productores, buscando recursos nacionales e internacionales."
Dalota Costa Rica,Agricultura / Pesca / Ganaderia,Chiriqui,"Empresa dedicada a la intermediacion agricola, principalmenente comercializando pina. Adicional siembra fruta en panama en la zona de chiriqui."
Maduro's Tropical Flowers,Agricultura / Pesca / Ganaderia,Panama,"Nuestra empresa se dedica al cultivo y comercializacion de plantas ornamentales, en especial orquideas."
Invertica,Agricultura / Pesca / Ganaderia,Panama,Comercializacion de productos agroveterinarios
Ocean Farms Inc.,Agricultura / Pesca / Ganaderia,"Arraijan, Panama Oeste",Oceans Farms Inc
Syngenta Agro S.A.,Agricultura / Pesca / Ganaderia,---,"Syngenta is one of the world's leading companies with more than 25,000 employees in over 90 countries dedicated to our purpose: Bringing plant potential to life. Through world-class science, global reach and commitment to our customers we help to increase crop productivity, protect the environment and improve health and quality of life."
ACUICOLA CHAME,Agricultura / Pesca / Ganaderia,"Chame, Panama Oeste",Afiliada del Grupo Corporativo Farallon con mas de 20 anos en el pais.
QUESERA MELISSA,Agricultura / Pesca / Ganaderia,Chiriqui,Empresa dediacada a la comercializacion de productos carnicos y lacteos.
"DISTRIBUIDORA DE CARNES SAN MIGUEL, S.A.",Agricultura / Pesca / Ganaderia,"San Miguelito, Panama",Es una empresa panamena con mas de 15 anos de experiencia en el proceso y comercializacion de productos carnicos.
organic fertilizers S.A.C,Agricultura / Pesca / Ganaderia,---,Produccion y venta de insumos agricolas.
Jardines Hasday,Agricultura / Pesca / Ganaderia,"Panama, Panama","Es una empresa dedicada a Servicios de Diseno, Construccion y Mantenimiento de Jardines."
TRADING BUSINESS MANAGEMENT,Agricultura / Pesca / Ganaderia,"Panama, Panama",Produccion y distribucion de productos para la proteccion y saneamiento de cultivos. Nuestra meta es ser una alternativa que permita a los agricultores precios competitivos y una expectativa alta de calidad en todo momento
"SITGES INTERNATIONAL, S.A",Agricultura / Pesca / Ganaderia,"Panama, Panama","Empresa que se dedica a brindar soluciones agricolas sostenibles y amigables con el medio ambiente, para acompanar al agricultor en todo el proceso de produccion"
PANABLASTING,Agricultura / Pesca / Ganaderia,"San Miguelito, Panama","Empresa lider en limpieza industrial. Especialistas en limpieza de plantas de alimento, reclutamos profesionales en el area de alimentos para entregar a nuestros clientes sus instalaciones con excelentes marcadores de limpieza. Nuestros supervisores de limpieza tienen que ser personas responsables, con flexibilidad de horarios nocturnos y ser excelentes lideres pro-activos para liderizar los grupos de limpieza."
Foragro,Agricultura / Pesca / Ganaderia,"Panama, Panama",Somos una empresa con trayectoria de 25 anos en el mercado de productos para el saneamiento de productos a nivel regional.
"Corp. Agrop. Ind. Merrow, S.A.",Agricultura / Pesca / Ganaderia,"Boqueron, Chiriqui","Empresa dedicada a los rubros de Ganaderia, Agricultura, Area Industrial, Inmobiliaria, Mineria y otras actividades acordes a el mercado actual y de constante crecimiento."
"Trelex Panama, S.A",Agricultura / Pesca / Ganaderia,"David, Chiriqui","Trelex Enterprises Ltda. es una empresa pionera en brindar soluciones profesionales y avanzadas para el mantenimiento de areas verdes: campos de golf, areas de recreacion deportiva, jardines de hoteles, residenciales, cementerios, entre otros. Establecemos programas personalizados para cada uno de nuestros clientes de acuerdo al area de interes."
Agro2,Agricultura / Pesca / Ganaderia,"Panama, Panama",Sector Agricola - Reforestacion
Consorcio San Carlos,Agricultura / Pesca / Ganaderia,"Pese, Herrera",Industria productora de Alcohol - Energia - Etanol
"Agropecuaria Shere Punjab, S.A.",Agricultura / Pesca / Ganaderia,"Panama, Panama",Empresa dedicada a la Ganaderia en especifico ordeno de ganado y bufalo y cria.
Multivac Centroamerica y Caribe,Agricultura / Pesca / Ganaderia,Extranjero,Comercializacion Maquinas Termoformadoras Selladoras de bandejas Maquinas de Campana Maquinas de banda con Campana Soluciones en Automatizacion
synegnta,Agricultura / Pesca / Ganaderia,"Panama, Panama","venta de agroquimicos, semillas y restructuracion de la tierra"
Open Blue,Agricultura / Pesca / Ganaderia,"Panama, Panama","Open Blue Sea Farms (OBSF) is a pioneer and leader in deep water open-ocean raised fish. We are the world's largest producer of Cobia operating submersible pens on the world's largest open ocean mariculture site 8 miles off the Caribbean coast of Panama. Our offshore operations are the culmination of a decade of cutting-edge investigative research on deep ocean aquaculture, in collaboration with the world's leading scientific laboratories and universities."
Ninety Plus Coffee,Agricultura / Pesca / Ganaderia,"Bugaba, Chiriqui","Empresa Internacional con operaciones en Panama desde 2007 encargada de produccion, procesamiento, comercializacion y exportacion de Cafe Gesha en Volcan, Panama."
Plantas Tropicales,Agricultura / Pesca / Ganaderia,"San Miguelito, Panama","Productor de plantas ornamentales, maderables, frutales con viveros en La Pintada, Cocle"
Rincon del Chef,Agricultura / Pesca / Ganaderia,"Panama, Panama","Mercado de frutas, verduras y alimentos con productos frescos que llegan directo del campo."
Limbomar S.A.,Agricultura / Pesca / Ganaderia,---,VENTA AL POR MAYOR Y MENOR DE PRODUCTOS DE MAR PESCADOS MARISCOS MOLUSCOS
MEC PANAMA,Agricultura / Pesca / Ganaderia,"Balboa, Panama",Una empresa Dedicada para la Reparacion de Buques
Agropalma de Inversiones S.A.,Agricultura / Pesca / Ganaderia,"Alanje, Chiriqui","Empresa dedicada al cultivo de palma de aceite y a la extraccion de aceite de palma. Con mas de 10 anos en el mercado, produciendo de manera sostenible y ayudando al desarrollo del agro Panameno."
"Productos Toledano, S.A.",Agricultura / Pesca / Ganaderia,Panama,Industria Avicola
Cabo Zarzo S.A,Agricultura / Pesca / Ganaderia,Panama,"Cabo Zarzo S.A Compania Ndeg1 en la produccion y exportacion de pinas en Panama. Miembros del Grupo Fyffes, Segunda productora de frutas a nivel mundial, Con presencia en America y Europa."
Jufinsa,Agricultura / Pesca / Ganaderia,"Panama, Panama",Cria de ganado cebu para estabulacion y cria de pollos de engorde
"Productos Toledano, S.A.",Agricultura / Pesca / Ganaderia,Panama,Industria Avicola
Cabo Zarzo S.A,Agricultura / Pesca / Ganaderia,Panama,"Cabo Zarzo S.A Compania Ndeg1 en la produccion y exportacion de pinas en Panama. Miembros del Grupo Fyffes, Segunda productora de frutas a nivel mundial, Con presencia en America y Europa."
Grupo Calesa,Agricultura / Pesca / Ganaderia,"Panama, Panama","Grupo Calesa fue fundado en 1918 y es el grupo agroindustrial mas importante del pais. Compuesto por ocho empresas cuyas actividades incluyen la produccion, procesamiento y comercializacion de importantes rubros alimenticios, como azucar, arroz y camaron. El grupo tambien se dedica a la ganaderia vacuna y ovina, a la produccion de alimentos para consumo animal, a la produccion de semillas certificadas de arroz, al igual que a la comercializacion de equipos, insumos, materias primas, lineas veterinarias y de agroquimicos, accesorios,etc.. El Grupo Calesa cuenta con mas de 3000 empleados permanentes. Es un grupo economico solido y con operaciones comerciales en Panama y otros paises del area, que goza de amplia respeto y trayectoria, reconocido como lider en areas de innovacion tecnologica."
Pollo Feliz,Agricultura / Pesca / Ganaderia,Panama,Empresa dedicada a la ciranza de pollos
Jufinsa,Agricultura / Pesca / Ganaderia,"Panama, Panama",Cria de ganado cebu para estabulacion y cria de pollos de engorde
"HM FOOD SOLUTIONS, S.A.",Agricultura / Pesca / Ganaderia,"Panama, Panama","HL FOOD SOLUTIONS S.A. es una empresa que ofrece el servicio de gestionar vinculos comerciales efectivos entre proveedores y compradores a nivel global. Cuenta con un equipo de colaboradores idoneos y capacitados para encontrar las mejores condiciones para las partes involucradas. Somos especialistas en el abastecimiento, procesamiento y distribucion de productos refrigerados, carne, pescados, mariscos, productos lacteos, frutas, verduras, harina, azucar, entre otros."
Tatooshop,Agricultura / Pesca / Ganaderia,---,body art ant temporary tattoo
Comercializadora transnacional,Agricultura / Pesca / Ganaderia,"Panama, Panama",Comercializamos productos a todo el mundo principalmente granos y mariscos desde mexico hacia todos los paises de latinoamerica nuestro proposito es tener representacion aqui en panama y de aqui coordinar todos los envios a latinoamerica asi como.buscar nuevos clientes.
Grupo KPK,Agricultura / Pesca / Ganaderia,"David, Chiriqui",PYME dedicada al rubro de la agricultura y ganaderia. Adicional contamos con una distribuidora de alimentos y carniceria.
Panaiso S.A.,Agricultura / Pesca / Ganaderia,"Panama, Panama","Empresa dedicada a la conservacion del medio ambiente, reforestacion, agricultura sostenible, investigacion cientifica y eco turismo, en la Reserva del Valle de Mamoni."
