Empresa,Area,Ubicacion,Descripcion
Expoflora S.A.,Agricultura / Pesca / Ganaderia,Heredia,Exportadora de Flores con mas de 20 anos en el Mercado.
Agroirazu S.A.,Agricultura / Pesca / Ganaderia,Cartago,"AGROIRAZU es un almacen que se dedica a la comercializacion de productos agricolas(fertilizantes, agroquimicos, semillas, equipos y herramientas. Su principal objetivo es brindarle al agricultor solucion a necesidades de produccion, no solo ofreciendo productos de calidad sino asistencia tecnica de calidad."
Agribiotecnologia de Costa Rica S.A.,Agricultura / Pesca / Ganaderia,Alajuela,"In Agribiotecnologia of Costa Rica we want to be a leader company in the micro propagation of in-vitro germoplasm , following the highest standards of quality and on the post-sale services. We wished to contribute with the improvement of the quality of life of our employees and to obtain the highest yield."
"Agricultura Creativa de Fermentos XPC, S.A.",Agricultura / Pesca / Ganaderia,"Tibas, San Jose","Empresa costarricense con mas de 10 anos de funcionamiento, dedicada a la fabricacion y comercializacion de productos 100% biologicos, utilizados en el tratamientos de aguas residuales, malos olores en general y otros relacionados."
Industrias Martec S.A.,Agricultura / Pesca / Ganaderia,Puntarenas,"Industria procesadora, Exportadora de pescado, lider en el pais"
Importante Empresa Agricola,Agricultura / Pesca / Ganaderia,Heredia,"Empresa cooperativa, comercializacion de cafe tanto nacional como internacional. El objetivo es negociar efectivamente el cafe para trasladar el beneficio economico a los asociados y a mejorar el bienestar socio economico tanto de socios como de trabajadores de la empresa."
Certific-ar S.A.,Agricultura / Pesca / Ganaderia,Extranjero,Entidad Certificadora en Calidad de Alimentos segun Resolucion SENASA 400/03.
Advance Packing S.A,Agricultura / Pesca / Ganaderia,Limon,"Empresa dedicada a la Comercializacion,Exportacion de Tuberculos y raices"
Rio Tapezco Ltda,Agricultura / Pesca / Ganaderia,San Jose,Exportacion de flores frescas
Pinales Centroamericanos GX LI,Agricultura / Pesca / Ganaderia,"Curridabat, San Jose","Somos una empresa dedicada comercializacion de pina y papaya pococi en europa , USA , Canada ."
Soluciones Agricolas S.A.,Agricultura / Pesca / Ganaderia,Limon,Solucionesagricolas S.A. es un representante de casa comerciales extranjeras con amplia experiencia en el dicha area. Posee con mas de 10 anos de experiencia
Empresa Privada,Agricultura / Pesca / Ganaderia,Alajuela,Exportadora de pina
Frutas Marinas del Mar SRL,Agricultura / Pesca / Ganaderia,Puntarenas,Empresa exportadora de Camaron.
Rio Tapezco Ltda,Agricultura / Pesca / Ganaderia,San Jose,"Empresa productora, comercializadora y exportadora de flores fresca a USA & Canada."
Compania Procesadora de Maderas San Carlenas,Agricultura / Pesca / Ganaderia,"San Carlos, Alajuela",Nos dedicamos a la Industrializacion y venta de Madera.
"Frutera del Litoral Costa Rica, S.A.",Agricultura / Pesca / Ganaderia,"Heredia, Heredia","Empresa dedicada a la importacion, exportacion y distribucion a nivel nacional de frutas frescas. Empresa dedicada a la importacion, exportacion y distribucion a nivel nacional de frutas frescas."
Coopagrimar R.L.,Agricultura / Pesca / Ganaderia,Alajuela,"Coopagrimar R.L., es una cooperativa que se dedica a procesar frutas y vegetales, mediante un sistema de tunel de congelado IQF. para exportacion, ademas tiene un almacen de suministros agricolas y veterinarios, que abastece a la mayoria de agricultores de la zona. Brinda empleo a alrededor de 60 personas, la mayoria vecinos del canton."
Pinales de Santa Clara S.A.,Agricultura / Pesca / Ganaderia,Heredia,Empresa productora y exportadora de pina fresca.
Precious Woods,Agricultura / Pesca / Ganaderia,"Liberia, Guanacaste","Somos una empresa de capital Suiza dedicada a la reforestacion y cosecha de maderas preciosas, con mas de 20 anos de experiencia en el campo."
Servicio Nacional de Helicopteros Ltda.,Agricultura / Pesca / Ganaderia,San Jose,"Empresa lider en el mercado, nos dedicamos a la fumigacion aerea de plantaciones de banano y arroz en todo el pais."
"Corporacion Arrocera Costa Rica, S.A.",Agricultura / Pesca / Ganaderia,"Alajuela, Alajuela",Comercializacion del arroz
"Rio de Janeiro, S.A.",Agricultura / Pesca / Ganaderia,"Poas, Alajuela",Empresa de Explotacion Agricola en Helechos
corporacion Tropifruit Export S.A.,Agricultura / Pesca / Ganaderia,Alajuela,Empresa dedicada a la exportacion de frutas y desarrollo de proyectos agricolas
Terrabosques,Agricultura / Pesca / Ganaderia,"Alajuela, Alajuela",Empresa dedicada a la reforestacion y venta de madera.
Terminales del Pacifico,Agricultura / Pesca / Ganaderia,"Tilaran, Guanacaste",Empresa dedicada a la comercializacion de productos quimicos para la Agricultura.
Plantaciones Exoticas S. A.,Agricultura / Pesca / Ganaderia,Cartago,"Quienes Somos Somos una empresa dedicada a la produccion y comercializacion de plantas ornamentales. Existimos desde 1973 y durante todos estos anos hemos producido mas de 1500 variedades de plantas. Muchas de ellas han llegado al mercado internacional y algunas han sido patentadas. Fundada por Gonzalo Pinto, Exotica fue la primera compania dedicada a la venta de plantas en Costa Rica. Mision: Recrear la armonia de la naturaleza en su ambiente. Vision: Integrar los diferentes departamentos laborales con el fin de atender mejor al cliente. Objetivo: Proveer productos y servicios de alta calidad a buen precio."
Global Consultants Intl,Agricultura / Pesca / Ganaderia,Extranjero,"Somos desarrolladores de proyectos agroindustriales en todo el mundo, industrias alimenticias y afines."
Expomaderas S. A,Agricultura / Pesca / Ganaderia,"San Carlos, Alajuela","Expomaderas S.A. es una empresa fundada en 1995, para el desarrollo de proyectos de reforestacion de madera teca (tectona grandis). La buena calidad de suelos desde el punto de vista nutricional y estructural y las condiciones adecuadas de precipitacion encontradas en la Zona de los Chiles al Norte de Costa Rica, contribuyeron a que la mayoria de los proyectos se hayan desarrollado a la fecha en dicha region, estableciendose varios asentamientos de desarrollo."
Centro Agricola Cantonal de Coronado,Agricultura / Pesca / Ganaderia,"Vasquez de Coronado, San Jose",Organizacion de productores agricolas
Cooperativa de turismo rural,Agricultura / Pesca / Ganaderia,Alajuela,Nos dedicamos a tour
Coopecalifornia,Agricultura / Pesca / Ganaderia,Puntarenas,Coopecalifornia es una empresa cooperativa que se dedica a la produccion y comercializacion de la palma aceitera. A la vez vende servicios a sus asociados.
Coopemontecillos,Agricultura / Pesca / Ganaderia,Alajuela,"Montecillos es una empresa con proyeccion global, creadora de valor en la actividad carnica, que a traves de sus asociados, desarrolla productos y servicios con calidad para la satisfaccion de sus clientes, con rentabilidad y en armonia con el ambiente."
Cargill,Agricultura / Pesca / Ganaderia,"Belen, Heredia","Cargill es una empresa internacional privada que proporciona alimentos, productos y servicios agricolas, financieros e industriales a todo el mundo. Colaborando estrechamente con los agricultores, clientes, gobiernos y comunidades, ayudamos a las personas a progresar al aplicar nuestros conocimientos con cerca de 150 anos de experiencia. Contamos con 162,000 empleados en 67 paises que estan comprometidos con la idea de alimentar al mundo de una forma responsable, a reducir el impacto medioambiental y mejorar las comunidades en las que vivimos y trabajamos. Fundada en 1865, Cargill contribuye para que nuestros clientes puedan tener exito a traves de la colaboracion y de la innovacion. Compartimos el compromiso de promover conocimiento y experiencia globales para ayudar a hacer frente a desafios economicos, ambientales y sociales. Para mayor informacion, visite: www.cargill.com Cargill Meats Central America es la unidad de negocios con diversas lineas de atencion de mercado: carnes de pollo, de res, de cerdo y de pavo; embutidos, productos para distribucion, alimentos balanceados para animales y alimento para mascotas. La Compania procesa pollo en Honduras, Nicaragua y Costa Rica. Las marcas reconocidas localmente en cada pais incluyen: Pollo Norteno y Embutidos Delicia en Honduras; Pollo Tip Top y Pipasa; Embutidos Delicia, Cinta Azul y Cainsa en Nicaragua; Embutidos Perry y queso Premier en Guatemala. En Costa Rica comercializa Pollo Pipasa, derivados carnicos en marcas como Kimby, Cinta Azul, Zaragoza, Tiquicia y Castillo del Roble. Corporacion PIPASA cuenta con 44 anos de experiencia en el mercado."
Corporacion de Desarrollo Agricola Del Monte S.A.,Agricultura / Pesca / Ganaderia,"San Jose, San Jose","Del Monte Fresh es una empresa dedicada a la produccion y exportacion de fruta fresca alrededor del mundo. Con presencia en mas de 50 paises con una fuerza laboral de mas de 45.000 empleados a nivel mundial. En Costa Rica, es la primera exportadora de fruta fresca para lo cual tiene extensas plantaciones de banano, pina, melon, vegetales, etc. Tiene mas 40 anos de presencia en Costa Rica y su casa Matriz se ubica en Estados Unidos."
D&PL Semillas Ltda,Agricultura / Pesca / Ganaderia,"Canas, Guanacaste","D&PL Semillas es una compania que forma parte de la transnacional Monsanto, dedicada a la investigacion e innovacion de la agricultura para brindarle a los agricultores opciones para poder generar mas alimentos y fibra. Inicio labores en 1997 y la opecacion esta enfocada en la produccion de semillas de algodon exportando toda la produccion en su mayoria hacia Estado Unidos. Nuestro compromiso es crear ambientes propicios para que los colaboradores se desarrollen profesional y personal. Es por ello que este ano 2013, fuimos galarnodanos con la segunda empresa a nivel de Multinacionales de Centroamerica y Caribe por el Great Place to Work Institute."
ECOM Agroindustrial Corp. Ltd (F.J. Orlich - Cafinter),Agricultura / Pesca / Ganaderia,"La Union, Cartago","ECOM Agroindustrial Corp. Ltd es una compania de comercio mundial de productos basicos, que se especializa en cafe, el algodon y el cacao en los principales paises productores y consumidores, con auxiliares de las operaciones agricolas en las semillas oleaginosas. En nuestro pais la empresa se dedica principalmente al procesamiento y exportacion de cafe bajo los nombres de F.J. Orlich - Cafinter."
Comercio Peru S.R.L.,Agricultura / Pesca / Ganaderia,Extranjero,"Somos una empresa con proyeccion a nivel nacional - internacional, que tiene como campo de accion la comercializacion y consultoria integral(produccion agropecuaria, mercadeo, exportacion e importacion, agronegocios, investigacion por cultivos y crianzas)."
Pineapples Juice,Agricultura / Pesca / Ganaderia,"San Jose, San Jose","Nuestra vision es el hacer el jugo producto de fruta, verduras, hortalizas e incluso diversas hierbas curativas una de las formas mas comodas y divertidas de obtener una alimentacion sana y equilibrada."
Vetim S. A.,Agricultura / Pesca / Ganaderia,"San Jose, San Jose","Empresa lider en comercio y distribucion de productos, insumos asi como soluciones integrales innovadoras para produccion pecuaria y animales de compania, en Costa Rica."
Sweet Tropical S.A,Agricultura / Pesca / Ganaderia,"Heredia, Heredia",Buenas me urge la contratacion de chofer para trailer urgente
"Agricola Industrial La Lydia, S.A.",Agricultura / Pesca / Ganaderia,"Alajuela, Alajuela","Agricola Industrial La Lydia S.A., empresa familiar dedicada por mas de 70 anos a las actividades agricolas y ganaderia de leche, lideres en el entorno de nuestra region. Desde el ano 2005 producimos pina dorada fresca para el mercado de exportacion."
Las Jicaras,Agricultura / Pesca / Ganaderia,Guanacaste,Finca ganadera
Ventas Tecnicas s.a,Agricultura / Pesca / Ganaderia,"San Jose, San Jose","Venta de equipos de aplicacion agropecuaria, motobombas, motosierras, motoguadanas, cordadoras de cested, etc"
VCW Asesores,Agricultura / Pesca / Ganaderia,"San Jose, San Jose",Desarrollo de medios publicitarios impresos y digitales
Catie,Agricultura / Pesca / Ganaderia,"Turrialba, Cartago","El CATIE es un Centro Agronomico Topical de Investigacion y Ensenanza, creado en 1973 por un acuerdo entre el Gobierno de Costa Rica y el IICA."
Green Rug,Agricultura / Pesca / Ganaderia,Extranjero,"Equipos aplicadores posicionales de herbicidas (Praderas,Forestacion,Campos Deportivos,Jardines)"
Grupo Carman,Agricultura / Pesca / Ganaderia,"Tibas, San Jose",Buscamos un soldador y encargado de mantenimiento de varias propiedades ubicadas en Tibas y San Geronimo de Moravia
Grupo ACI,Agricultura / Pesca / Ganaderia,"Canas, Guanacaste","Empresa dedicada a la produccion, procesamiento y comercializacion de tilapia para exportacion."
Organic Chef,Agricultura / Pesca / Ganaderia,Extranjero,Nos dedicamos a la produccion de cultivos organicos.
Beneficiadora de Occidente S.A.,Agricultura / Pesca / Ganaderia,"Alajuela, Alajuela",Empresa dedicada a la produccion de cafe en fruta y beneficio de cafe en grano para consumo nacional e internacional.
R.A.H CARNES DE MI FINCA S.A.,Agricultura / Pesca / Ganaderia,"Desamparados, San Jose","Centro de Carnes , carniceria especializada en la venda de carnes finas de alta calidad, cortes finos. Ubicada en San Francisco de dos rios y Calle Fallas de Desamparados."
"NIMELEC, S.L.U.",Agricultura / Pesca / Ganaderia,---,"Empresa formuladora de productos fitosanitarios y productos agricolas. Especialistas en sanidad vegetal, salud publica, nutricion vegetal y soluciones agrarias en general."
Inversiones Palmeto Ltda.,Agricultura / Pesca / Ganaderia,"Guacimo, Limon",Compania exportadora de plantas ornamentales localizada en la Zona de Guapiles. Enviamos a Norte y Sur America. Tambien hacemos envios a Europa y Asia..
Florana Farms,Agricultura / Pesca / Ganaderia,Extranjero,"Grupo Froricola lider en la produccion y exportacion de rosas, flores tropicales y productos no tradicionales con mercado importante en Europa, Japon y Asia, cuenta con tecnologia de punta en sus fincas en Tabacundo, Pedro Vicente Maldonado en Ecuador."
"Ornamentales Sapo Verde, S.A.",Agricultura / Pesca / Ganaderia,Limon,"Agente de Compras: Labores: Visita a fincas que tenemos como proovedores Visitas a fincas con potencial e interes como proovedores Establecimiento, distribucion y supervicion de programas de produccion entre los diferentes proovedores Supervicion de los procesos de produccion y empaque de todos los productos en cada semana Cordinacion con departamento de ventas para la precentacion de las disponibilidades de cada semana Caracteristicas basicas de un candidato ideal: Experiencia en la actividad tanto de produccion como embalaje Conocimiento de las principales areas de produccion Buenas relaciones Humanas Seriedad y confiavilidad"
Inversiones Peralfa S.A.,Agricultura / Pesca / Ganaderia,"San Jose, San Jose",Distribucion de productos lacteos de Cabra.
Frutas Selectas del Tropico,Agricultura / Pesca / Ganaderia,"Parrita, Puntarenas",Empresa dedicada al cultivo de Banano.
Plantas Verdes Inc.,Agricultura / Pesca / Ganaderia,Limon,"We produce ornamental plants for export. We are located at Guapiles, Costa Rica."
Compania Agricola Industrial Propica SA,Agricultura / Pesca / Ganaderia,"San Jose, San Jose",Agroindustria con 30 anos de experiencia en el mercado local e internacional
RGI sa,Agricultura / Pesca / Ganaderia,"San Carlos, Alajuela",Empresa Forestal
Corporacion Interfrutd,Agricultura / Pesca / Ganaderia,"Heredia, Heredia","Se dedica a comercializacion de frutas, verduras y sus derivados"
inverciones H.Agricola,Agricultura / Pesca / Ganaderia,San Jose,Inverciones H.Agricola se dedica a la produccion de de hortalizas de corto plazo. con exportaciones a EEUU
Bananera El Esfuerzo S.A.,Agricultura / Pesca / Ganaderia,Limon,Actividad agricola de produccion bananera para exportacion.
Chiquita Brands,Agricultura / Pesca / Ganaderia,"Santa Ana, San Jose",Compania multinacional productora y exportadora de frutas tropicales
Corporacion Arrocera Nacional,Agricultura / Pesca / Ganaderia,San Jose,"Institucion del sector agropecuario, cuya mision es la de ""Organizar, regular y promover en forma autosostenible y rentable la actividad arrocera nacional, para que productores e industriales satisfagan la seguridad alimentaria del pais con un producto accesible y de alta calidad""."
Cooperativa de Productores de Leche Tecnificados R.L.,Agricultura / Pesca / Ganaderia,"Oreamuno, Cartago","Cooperativa de servicios al asociado: insumos, creditos, capacitacion y otros."
Natural Vitro S.A,Agricultura / Pesca / Ganaderia,"Paraiso, Cartago","Natural Vitro S.A. nacio con el objetivo de promover el desarrollo y crecimiento del sector agricola a nivel nacional e internacional, mediante el acceso a la innovacion y el desarrollo biotecnologico. Nuestro objetivo es fomentar el desarrollo de los productores agricolas a traves de la transferencia de conocimientos y la experiencia de la biotecnologia. La Empresa: Natural Vitro S.A. es una empresa que ofrece nuevas alternativas para la mejora de los productos agroindustriales mediante el uso de tecnicas biotecnologicas. Nuestro laboratorio de micropropagacion vegetal permite una gran variedad de productos agricolas, especies ornamentales y agroindustriales."
Delisabor,Agricultura / Pesca / Ganaderia,Alajuela,Empresa dedidacada a la agroindustria de vegetales.
Nativet S.A,Agricultura / Pesca / Ganaderia,Heredia,"NATIVET S.A es una compania en el campo de la Farmaceutica Veterinaria,somos distribuidores autorizados de reconocidas casas comerciales a nivel mundial. Buscamos la exelencia,dedicacion y responsabilidad en nuestro equipo de trabajo, empleados comprometidos con nuestra vision empresarial."
Agroquimica Industrial RIMAC SA,Agricultura / Pesca / Ganaderia,Cartago,"Agroquimica Industrial RIMAC SA, es una compania Lider en la elaboracion de agroquimicos genericos."
Fedecoop Suministros S.A.,Agricultura / Pesca / Ganaderia,"Santo Domingo, Heredia","El compromiso fundamental de FEDECCOP SUMINISTROS S.A., es la satisfaccion de las necesidades y expectativas de sus clientes, suministrandoles bienes y servicios integrados en los sectores agricola, industrial y comercial y otros relacionados, haciendo un manejo racional de los recursos que conduzcan a una retribucion justa para los accionistas, colaboradores y para la sociedad en general"
AGQ labs,Agricultura / Pesca / Ganaderia,Extranjero,"Labs & Technological Services AGQ, es un centro tecnologico internacional, con implantacion en mas de 20 paises, y laboratorio lider en los sectores agroalimentario, medioambiental e industrial."
Industrias Agropecuarias La Moderna S. A.,Agricultura / Pesca / Ganaderia,Alajuela,"Empresa dedicada a la produccion pecuaria y distribucion de carne, especificamente en Cerdos y Ganado bovino. Actualmente en expansion. Nuestros socios cuentan con una produccion actual de 1500 madres (cerdas de cria) y han decidido duplicar esta. La produccion de carne de res es accesoria y pretenden crecer tanto vertical como horizontalmente."
Montecillos,Agricultura / Pesca / Ganaderia,"Alajuela, Alajuela","Montecillos es una Empresa Agroindustrial, ubicada en el Montecillos de Alajuela con proyeccion nacional e internacional en productos carnicos con valor agregado."
Union de Bananeros de Uraba S.A. Uniban,Agricultura / Pesca / Ganaderia,Extranjero,"C.I. UNIBAN S.A. es una compania lider en Colombia en cuanto a la exportacion de Banano y Platano, posicionada en el medio como Comercializadora Internacional y con un largo recorrido historico, que inicio en Colombia con el cultivo organizado del banano a finales del Siglo XIX, cuando las transnacionales bananeras como United Brands (Chiquita), Castle & Cooke (Dole) y Delmonte, llegaron a la region del Magdalena y posteriormente a Uraba para manejar la produccion y comercializacion de esta fruta en el pais. Hasta entonces los intentos de crear companias regionales para vender banano en los Estados Unidos y Europa, con el fin de mejorar las condiciones de los productores, no habian tenido exito. Este monopolio de la industria bananera llevo a un destacado grupo de colombianos vinculados a las actividades agricolas y pecuarias de la region de Uraba a crear la Union de Bananeros de Uraba S.A. UNIBAN, el 26 de enero de 1966 con el proposito de vender la fruta en los mercados internacionales, es asi que en abril de 1969 UNIBAN hace su primer embarque de banano hacia los EE UU. Para luego en 1970 crear a Turbana Corporation, como comercializadora de UNIBAN en los Estados Unidos. Por primera vez un grupo de agricultores colombianos registro en ese pais su propia y directa fuerza de ventas. Su oficina principal funciona en Miami y distribuye desde los puertos de Bridgeport y Gulfport. En junio 3 de 1982 UNIBAN cambia de razon social para convertirse en comercializadora Internacional, su nuevo nombre: C.I. Union de Bananeros de Uraba S.A.  UNIBAN, exportadora de banano y platano (Uraba y Magdalena), exporta a los mercados de Norte America, Europa, Asia y Mediterraneo, abasteciendo con sus productos de alta calidad que cumplen con todos los estandares internacionales."
Florana Farms,Agricultura / Pesca / Ganaderia,Extranjero,"Grupo Froricola lider en la produccion y exportacion de rosas, flores tropicales y productos no tradicionales con mercado importante en Europa, Japon y Asia, cuenta con tecnologia de punta en sus fincas en Tabacundo, Pedro Vicente Maldonado en Ecuador."
"Ornamentales Sapo Verde, S.A.",Agricultura / Pesca / Ganaderia,Limon,"Agente de Compras: Labores: Visita a fincas que tenemos como proovedores Visitas a fincas con potencial e interes como proovedores Establecimiento, distribucion y supervicion de programas de produccion entre los diferentes proovedores Supervicion de los procesos de produccion y empaque de todos los productos en cada semana Cordinacion con departamento de ventas para la precentacion de las disponibilidades de cada semana Caracteristicas basicas de un candidato ideal: Experiencia en la actividad tanto de produccion como embalaje Conocimiento de las principales areas de produccion Buenas relaciones Humanas Seriedad y confiavilidad"
Inversiones Peralfa S.A.,Agricultura / Pesca / Ganaderia,"San Jose, San Jose",Distribucion de productos lacteos de Cabra.
Frutas Selectas del Tropico,Agricultura / Pesca / Ganaderia,"Parrita, Puntarenas",Empresa dedicada al cultivo de Banano.
Plantas Verdes Inc.,Agricultura / Pesca / Ganaderia,Limon,"We produce ornamental plants for export. We are located at Guapiles, Costa Rica."
Compania Agricola Industrial Propica SA,Agricultura / Pesca / Ganaderia,"San Jose, San Jose",Agroindustria con 30 anos de experiencia en el mercado local e internacional
inverciones H.Agricola,Agricultura / Pesca / Ganaderia,San Jose,Inverciones H.Agricola se dedica a la produccion de de hortalizas de corto plazo. con exportaciones a EEUU
Corporacion Interfrutd,Agricultura / Pesca / Ganaderia,"Heredia, Heredia","Se dedica a comercializacion de frutas, verduras y sus derivados"
RGI sa,Agricultura / Pesca / Ganaderia,"San Carlos, Alajuela",Empresa Forestal
Bananera El Esfuerzo S.A.,Agricultura / Pesca / Ganaderia,Limon,Actividad agricola de produccion bananera para exportacion.
Chiquita Brands,Agricultura / Pesca / Ganaderia,"Santa Ana, San Jose",Compania multinacional productora y exportadora de frutas tropicales
Fruta Internacional S.A.,Agricultura / Pesca / Ganaderia,Heredia,"La empresa Fruta Internacional se dedica a la comercializacion de productos perecederos. Frutas Importadas, Vegetales y Fruta Nacional de las mejores calidades es lo que ofrecemos a nuestros clientes. Somos reconocidos por la solidez de la empresa y por cumplir siempre con nuestro compromiso de servicio, calidad y precios."
Delisabor,Agricultura / Pesca / Ganaderia,Alajuela,Empresa dedidacada a la agroindustria de vegetales.
Agroirazu S.A.,Agricultura / Pesca / Ganaderia,Cartago,"Almacen de Insumos Agricolas dedicado a la comercializacion de agroquimicos, fertilizantes, semillas, equipos y herramientas para su uso en la agricultura y campos afines."
Natural Vitro S.A,Agricultura / Pesca / Ganaderia,"Paraiso, Cartago","Natural Vitro S.A. nacio con el objetivo de promover el desarrollo y crecimiento del sector agricola a nivel nacional e internacional, mediante el acceso a la innovacion y el desarrollo biotecnologico. Nuestro objetivo es fomentar el desarrollo de los productores agricolas a traves de la transferencia de conocimientos y la experiencia de la biotecnologia. La Empresa: Natural Vitro S.A. es una empresa que ofrece nuevas alternativas para la mejora de los productos agroindustriales mediante el uso de tecnicas biotecnologicas. Nuestro laboratorio de micropropagacion vegetal permite una gran variedad de productos agricolas, especies ornamentales y agroindustriales."
Nativet S.A,Agricultura / Pesca / Ganaderia,Heredia,"NATIVET S.A es una compania en el campo de la Farmaceutica Veterinaria,somos distribuidores autorizados de reconocidas casas comerciales a nivel mundial. Buscamos la exelencia,dedicacion y responsabilidad en nuestro equipo de trabajo, empleados comprometidos con nuestra vision empresarial."
Agroquimica Industrial RIMAC SA,Agricultura / Pesca / Ganaderia,Cartago,"Agroquimica Industrial RIMAC SA, es una compania Lider en la elaboracion de agroquimicos genericos."
Fedecoop Suministros S.A.,Agricultura / Pesca / Ganaderia,"Santo Domingo, Heredia","El compromiso fundamental de FEDECCOP SUMINISTROS S.A., es la satisfaccion de las necesidades y expectativas de sus clientes, suministrandoles bienes y servicios integrados en los sectores agricola, industrial y comercial y otros relacionados, haciendo un manejo racional de los recursos que conduzcan a una retribucion justa para los accionistas, colaboradores y para la sociedad en general"
AGQ labs,Agricultura / Pesca / Ganaderia,Extranjero,"Labs & Technological Services AGQ, es un centro tecnologico internacional, con implantacion en mas de 20 paises, y laboratorio lider en los sectores agroalimentario, medioambiental e industrial."
Industrias Agropecuarias La Moderna S. A.,Agricultura / Pesca / Ganaderia,Alajuela,"Empresa dedicada a la produccion pecuaria y distribucion de carne, especificamente en Cerdos y Ganado bovino. Actualmente en expansion. Nuestros socios cuentan con una produccion actual de 1500 madres (cerdas de cria) y han decidido duplicar esta. La produccion de carne de res es accesoria y pretenden crecer tanto vertical como horizontalmente."
Montecillos,Agricultura / Pesca / Ganaderia,"Alajuela, Alajuela","Montecillos es una Empresa Agroindustrial, ubicada en el Montecillos de Alajuela con proyeccion nacional e internacional en productos carnicos con valor agregado."
