Empresa,Estado,Descripcion
TOSTADERIA LUMAR,Tonala - Mexico,"Purificacion y embotellado de agua
Proveedor de:
Bebidas
Aguas y aguas minerales"
CLINICA VETERINARIA PATY,Iguala de la independencia - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
GHAFARI ASSOCIATES MEXICO S DE RL DE CV,Monterrey - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
Flores y Mas Flores,Ciudad de mexico - Mexico,"Arreglos Florales FunebresCoronas FunebresArreglos Florales Amor y RomanceArreglos Florales CumpleanosArreglos Florales AgradecimientoArreglos Florales NacimientoArreglos Florales Recuperate ProntoArreglos Florales Dia del Nino
Proveedor de:
Flores cortadas
Arreglos florales"
VENTILADORES COPACABANA SA DE CV,Zapopan - Mexico,"Fabricacion de enseres electrodomesticos menores
Proveedor de:
Higiene y limpieza
Aparatos sanitarios, electricos
Aspiradoras..."
Abarrotodo Institucional S de RL MI,Chihuahua - Mexico,"Importacion, comercializacion y distribucion de materia prima para la fabricacion de productos Lacteos. Algunos de los productos que manejamos son: Leche Descremada en Polvo, Suero de Leche en polvo, Leche Entera en polvo, Lactosa, Solidos de Mantequilla, Suero Desmineralizado, Caseina Renina, Conce... Ver su perfil
Proveedor de:
Alimentos deshidratados y liofilizados
Preparados en polvo para bebidas a base de leche
Importadores y exportadores..."
CENTRO INTEGRAL VETERINARIO,Boca del rio - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
"Bioc Ingenieria Sustentable, S.A. de C.V., BIOC (INGENIERIA SUSTENTABLE)",Apizaco - Mexico,"Proveedor de:
Jabon, productos de limpieza y detergentes, ecologicos, organicos
Productos para el control de plagas
Personal temporal..."
QUESERIA BLUMEN S. DE P.R,Ciudad cuauhtemoc - Mexico,"Preparacion de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles
Proveedor de:
Salchichas, embutidos y salchichones
Alimentacion
Procesado de carne y carne de caza"
CLINICA VETERIANARIA ANIMAL CARE CENTER,Cabo san lucas - Mexico,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
Proveedor de:
Alimentacion
Piensos y alimentos para animales
Preparaciones farmaceuticas para veterinaria..."
PANADIS SA DE CV,Puebla (heroica puebla) - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
"Productos Cabad, Productos Cabad",Cuernavaca - Mexico,"Somos fabricantes de las mejores charolas de fibra de vidroio, con mas de 25 anos que respaldan nuestro trabajo. Contamos con una extensa variedad de modelos como charola rectangular, ovalada, redonda en superficie lisa, con corcho, antiderrapante, trapezoidal, supermercado, propinera. Ideal para sa... Ver su perfil
Proveedor de:
Articulos de plastico reforzado con fibra de vidrio
Bandejas de plastico reforzado con fibra de vidrio
Envases de plastico para la industria de alimentacion y de bebidas..."
VETERINARIA SIGALA,Chihuahua - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
CLINICA VETERINARIA DEL CAMPO,Minatitlan - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
"Del Rey Tacos y Clayudas, Del Rey",Santa cruz xoxocotlan - Mexico,"Somos una Organizacion Familiar dedicada al fomento de la gastronomia tipica Oaxaquena y Mexicana, como lo son los tacos de diferentes carnes como lo son el suadero, la tripa, el tasajo, el chorizo, la arrachera, la carne enchilada y la especialidad de la casa.... Ver su perfil
Proveedor de:
Carnes delicatessen
Salchichas, embutidos y salchichones
Chorizo"
"Maria de la Luz Vazquez Salinas, AIDECHS (AIDECHS)",Cuautitlan izcalli - Mexico,"Aidecha es una empresa mexicana con mas de 25 anos de experiencia en la administracion de capital humano y servicios en general.Contamos con la disponibilidad de recurso humano para la colocacion oportuna en su proceso ofreciendo alta calidad en el tiempo de respuesta al mejor costo posible y ponien... Ver su perfil
Proveedor de:
Jabon, productos de limpieza y detergentes, ecologicos, organicos
Medicion electronica e instrumentos de control
Aparatos electronicos de inspeccion para controles de calidad"
AIKO-CAN,Morelia - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
CLINICA VETERINARIA ALEMAN,Merida - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
SUMINITROS ESPECIALIZADOS EN MANEJO DE CARGA S DE RL,Queretaro - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
Sabia belleza,Oaxaca de juarez - Mexico,"Tienda de productos de belleza natural y cuidado personal conscientes: organicos, naturales y libres de crueldad. STATERA es una palabra de origen Griego que significa ""Sabia Belleza"" y elegimos este nombre para la marca ya que la intencion es promover la belleza natural, libre de quimicos y libre d... Ver su perfil
Proveedor de:
Aceites esenciales y naturales, ecologicos, organicos
Aceites esenciales, aromaterapia, ecologica, organica
Productos para el cuidado personal y cosmeticos, organicos, ecologicos..."
"RASTRO AVICOLA CELAYENSE, S.P.R. DE R.I.",Celaya - Mexico,"Corte y empacado de carne de ganado, aves y otros animales comestibles
Proveedor de:
Alimentacion
Productos de matadero, no procesados"
Moles Selectos Don Mario,Ecatepec de morelos - Mexico,"Proveedor de:
Comidas precocinadas, ultracongeladas
Especialidades de comida ultracongeladas
Pastas alimenticias, enlatadas o en otros tipos de envases..."
VETERINARIA REGINA,Ciudad juarez - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
PANADERIA MEXICANA Y TRADICION EL TRIGO,Orizaba - Mexico,"Comercio al por mayor de pan y pasteles
Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
PANADERIA ROMA,Tampico - Mexico,"Panificacion industrial
Proveedor de:
Alimentacion
Productos de panaderia congelados rapidamente
Postres y reposteria, congelados y ultracongelados..."
"Comedores Industriales Continental, Continental (Comedores Industriales)",Ciudad de mexico - Mexico,"Comedores Industriales Continental es una empresa con una amplia trayectoria en el suministro de alimentos, de cafeteria industrial, cafeteria ejecutiva, comedor industrial, catering empresarial, transporte de comidas y alimentos, diseno, instalacion y suministro de cocinas industriales y proyectos... Ver su perfil
Proveedor de:
Productos alimenticios, refrigerados
Catering ensaladas
Productos naturales y dieteticos..."
"Procesos Especializados de Carton de Mexico, PEC",Leon - Mexico,"PEC, Somos una empresa que nos especializamos en ofrecer soluciones rentables e innovadoras de empaque y embalaje de carton corrugado, para el sector agroindustrial, agricola, automotriz, vinicola, alimenticio, asi como la de mantener relaciones solidas y permanentes con nuestros clientes.... Ver su perfil
Proveedor de:
Servicios de conservacion y envasado de productos agricolas
Empaque de productos agricolas"
Svarko S.A. de C.V.,Tlaquepaque - Mexico,"Una empresa mexicana dedicada a la construccion integral dar el servicio a los sectores industrial, civil, publico y privado con calidad honestidad
Proveedor de:
Servicios paisajistas
Empresas de diseno y construccion de biotopos
Bombas para ingenieria civil y la industria de la construccion"
NECTARE,Tlajomulco de zuniga - Mexico,"Elaboracion de concentrados, polvos, jarabes y esencias de sabor para bebidas
Proveedor de:
Concentrados para gaseosas
Bebidas
Limonada, gaseosas y bebidas sin alcohol..."
Industrializadora de Deshidratados por Espreas de Puebla S. de R.L. de C.V.,Puebla - Mexico,"Alimentos deshidratados por metodo de Atomizacion (polvo), Conservando propiedades organolepticas de frutas y verduras.
Proveedor de:
Alimentos deshidratados y liofilizados
Alimentos atomizados"
TECNOLOGIA AGRICOLA PRODUCTIVA SA DE CV,Irapuato - Mexico,"Otros servicios relacionados con la agricultura
Proveedor de:
Agricultura y silvicultura
Servicios de agricultura y horticultura"
"Raul Magana Barrera, aGUAPROF",Morelia - Mexico,"Venta de equipos y/o instalacion de tratamiento de agua. Portafiltros, filtros, tanques valvulas manuales y automaticas, materiales filtrantes (antracita, garnet, zeolita, calcita, carbon activado filox, resina cationica, resina anionica, sal en pellets, filtros de carbon activado, suavizadores, sis... Ver su perfil
Proveedor de:
Articulos de plastico para uso domestico
Suavizadores de agua domesticos, de plastico
Accesorios para calderas de vapor industriales..."
CENTRO VETERINARIO DEL PUERTO,Boca del rio - Mexico,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
Proveedor de:
Alimentacion
Piensos y alimentos para animales
Preparaciones farmaceuticas para veterinaria..."
CARNICERIA ANTONIO MONTA? VITE,Pachuca de soto - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
BIO TECNOLOGIA PECUARIA SA DE CV,Queretaro - Mexico,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
Proveedor de:
Alimentacion
Piensos y alimentos para animales
Preparaciones farmaceuticas para veterinaria..."
SAN JOSE CLINICA VETERINARIA,Navojoa - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
