Empresa,Area,Ubicacion,Descripcion
PacificBlu SPA,Agricultura / Pesca / Ganaderia,"Talcahuano, Biobio","Empresa dedicada al rubro de los alimentos para consumo humano. Como materia prima principal que se trabaja es la merluza tanto para consumo nacional y de exportacion. La empresa PacificBlu cuenta con aproximadamente 1500 colaboradores, empezando desde la tripulacion que sale en barcos en busca de la materia prima hasta el personal que trabaja en planta."
Huertos Alma,Agricultura / Pesca / Ganaderia,"Santiago - La Florida, R.Metropolitana","Empresa de Productos Agricolas. Venta de Almacigos, Fertilizantes, Abonos, Tierra de Hoja, Herramientas, Semillas. Humus, Compost, Turba, Perlita, Vermiculita, Fibra de Coco, Jabon Potasico, Urea y NPK. Comprar Online. Contacto Por WhatsApp. Kits Disponibles."
SOLBIORGANIXFRUIT,Agricultura / Pesca / Ganaderia,"Tiltil, R.Metropolitana","Huerto de Frutas Organico, dedicado a la produccion de Manzana , Pera y UVA de mesa."
Quillayes Surlat,Agricultura / Pesca / Ganaderia,"Santiago - Providencia, R.Metropolitana","Una empresa de productos saludables, lacteos y no lacteos, que genera vinculos de confianza con clientes y proveedores, respetando el medio ambiente y la comunidad."
Agrosuccess Servicios SpA,Agricultura / Pesca / Ganaderia,"Santiago - Las condes, R.Metropolitana",Empresa dedicada al Control automatico del riego y telemetria a traves de sistemas tecnologicos que contienen un hardware y un sofware.
Rucahue,Agricultura / Pesca / Ganaderia,"San Javier, Maule",Rucahue Family Vineyard
Agricola Maria Pinto,Agricultura / Pesca / Ganaderia,"Santiago - Las condes, R.Metropolitana","Agricola Maria Pinto es una empresa dedicada a la produccion de limones, naranjas, pomelos, paltas y almendras, que se comercializan tanto en Chile como en el exterior. Adicionalmente, la empresa produce cereales y hortalizas para mercado interno. Via contratos con empresas multiplicadoras, participa en el negocio de produccion de semillas de hortalizas destinadas al mercado externo."
Proari spa,Agricultura / Pesca / Ganaderia,"Arica, Arica y Parinacota","Empresa internacional del sector agricola, dedicada a la investigacion y mejora vegetal. Ubicada en Chile con dos centros de produccion de semilla en Arica y Quillota."
celery servicios spa,Agricultura / Pesca / Ganaderia,"Santiago - Las condes, R.Metropolitana","venta de maquinaria e insumos de jardineria, servicio de control de plaga"
Agricola La Martina Limitada,Agricultura / Pesca / Ganaderia,"Santiago - Las condes, R.Metropolitana","Importante empresa Agro pecuaria, con base en Valle Mallarauco, orientada a la produccion Fruticola y lechera, con centros productivos en distintas regiones del pais."
B-GETALES,Agricultura / Pesca / Ganaderia,"Rancagua, Libertador B. O Higgins","Empresa presente desde 1989 en la industria alimentaria, que abastece a casinos de diversas empresas e instituciones tales como; establecimientos escolares, hospitales, grandes faenas, restaurantes, hoteles y otros."
Austral berries,Agricultura / Pesca / Ganaderia,"Osorno, Los Lagos","Somos una empresa dedicada a la produccion y exportacion de arandanos frescos y deshidratados y otros berries, en menor medida."
Hotel de Perros,Agricultura / Pesca / Ganaderia,"Talagante, R.Metropolitana","Clinica especializada en Cirugias plasticas y esteticas, ubicada en Las Condes con amplia y reconocido prestigio."
Fumigaciones Manquehue,Agricultura / Pesca / Ganaderia,"Santiago - Lo Barnechea, R.Metropolitana","Mas de 40 anos de experiencia nos han posicionado como lider en control y prevencion de plagas urbanas, contamos con autorizacion del Seremi de Salud Ndeg 10.134. Ponemos a disposicion soluciones ajustadas a las necesidades de cada cliente con servicio personalizado a cargo de equipos de profesionales y tecnicos. Trabajamos en alianza con el respaldo de prestigiosos laboratorios que nos proveen de lineas de productos eficaces y seguros para las personas y el medio ambiente, todos autorizados por el Instituto de Salud Publica ISP."
EcoIntegra,Agricultura / Pesca / Ganaderia,"Santiago - La Reina, R.Metropolitana","Somos ecointegra(r) y bajo nuestra razon social EB EVF ltda., llevamos mas de 25 anos en el Mercado Nacional, dedicados 100% a las Soluciones Ambientales y en especial a la Sanitizacion Industrial, Control de Plagas, Mantencion de Areas Verdes entre otros servicios del area sanitaria."
VITIVINICOLA INVINA LTDA,Agricultura / Pesca / Ganaderia,"Talca, Maule","Empresa vitivinicola exportadora de vinos embotellados. Productora de uvas, arandanos y manzanos. Empresa dinamica, en proceso de crecimiento. Empresa dinamica y agil, con buen ambiente de trabajo."
Exportadora Santa Elena,Agricultura / Pesca / Ganaderia,"Colina, R.Metropolitana","Productores y exportadores de uva de mesa desde chile hacia el mundo. Empresa preocupada en los detalles productivos y de comercializacion, con un fuerte enfasis en la calidad del producto y los procesos"
DLC SOLUCIONES EN PACKAGING,,"Puerto Montt,","SOMOS UNA EMPRESA, QUE CUENTA CON UNA PLANTA PARA LA PRODUCCION Y DISTRIBUCION DE GEL PACK PARA QUE SON UTILIZADAS PARA LA VENTA EN SALMONERAS, LABORATORIOS, CLINICAS ENTRE OTROS. CONTAMOS CON UN GRATO AMBIENTE LABORAL"
Biocompost4,Agricultura / Pesca / Ganaderia,"Santiago - Las condes, R.Metropolitana",BioCompost4 es una empresa innovadora que tiene profesionales con vision de sustentabilidad del medio ambiente y con conocimiento del proceso.
Fish Vet Group,Agricultura / Pesca / Ganaderia,"Puerto Montt, Los Lagos","Laboratorio Acuicola, perteneciente a impresa Multinacional, especializado en diagnostico y servicios veterinarios, que necesita por faenas de temporada, contratar personal para labores de toma de muestras"
Grupo Abud,Agricultura / Pesca / Ganaderia,"Curico, Maule","Empresa perteneciente a holding agricola, dedicada a la comercializacion de frutas tales como cereza, kiwi, peras, etc."
Rinconada Walnuts,Agricultura / Pesca / Ganaderia,"Calera de Tango, R.Metropolitana","Empresa dedicada al proceso y exportacion de nueces, lo que le permite ofrecer y garantizar a sus clientes, una alta calidad y consistencia en nuestros productos durante la temporada y a traves de los anos. Nos comprometemos a entregar productos que cumplan con altos estandares de calidad, velando por los requerimientos y confianza de nuestros clientes."
fitotecnologia,Agricultura / Pesca / Ganaderia,"Colbun, Maule","Empresa dedicada a la confeccion agro insumos fitotecnologicos, dentro de la agricultura organica y convencional, Con presencia a Nivel nacional e internacional."
Azul Extrem,Agricultura / Pesca / Ganaderia,"Puerto Varas, Los Lagos","Empresa relacionada con la acuicultura marina, empleos de buceo profesional en el mar, conjuntamente se realizan buceos en aguas confinadas y buceo es Piscicultura"
comercial agroimec ltda,Agricultura / Pesca / Ganaderia,"San Bernardo, R.Metropolitana","Empresa con experiencia en el rubro agricola, venta de maquinarias para cosecha y de maquinas de viento, contamos con un equipo tecnico para las mantenciones y emergencias 24/7."
Transriego Limitada,Agricultura / Pesca / Ganaderia,"Santiago Centro, Valparaiso",Transriego Limitada .....................................................................................................................................................................................................................................................................................................
SOLFRUT,Agricultura / Pesca / Ganaderia,"Curico, Maule","La historia de Solfrut esta entrelazada con la vida de don Jose Soler Mallafre, quien desde su juventud fue un emprendedor que destaco en distintos ambitos entre los cuales opto por la produccion fruticola."
3f,Agricultura / Pesca / Ganaderia,"Talagante, R.Metropolitana",SOMOS UNA EMPRESA DEDICADA A LA COMERCIALIZACION DE PRODUCTOS AGRICOLAS. ABASTECEDORAS DE CASINOS A NIVEL NACIONAL.
Cooperativa Agricola Vitivinicola Loncomilla,Agricultura / Pesca / Ganaderia,"San Javier, Maule","Empresa cooperativa, dedicada a la elaboracion y envasado de vinos, producidos con uva que proveen sus socios cooperados. Ubicada en la comuna de San Javier, Region del Maule, Chile"
Human Resources,Agricultura / Pesca / Ganaderia,Libertador B. O Higgins,---
Agricola Montolin S.A,Agricultura / Pesca / Ganaderia,"Llaillay, Valparaiso","Empresa agricola, dedicada a la produccion procesamiento y exportacion de fruta. Mas de 25 anos en el mercado han posicionado a nuestra empresa como una empresa solida y en constante proceso de innovacion."
Interocess SA,Agricultura / Pesca / Ganaderia,"Santiago - Quinta Normal, R.Metropolitana","Empresa elaboradora y procesadora de hortalizas-vegetales que sirve al sector horeca, supermercados y particulares mediante distintos tipos de productos"
Stoller Chile,Agricultura / Pesca / Ganaderia,"Curico, Maule",Empresa multinacional especialista en fisiologia y nutricion vegetal que por mas de 40 anos desarrolla y ofrece soluciones innovadoras de calidad que potencian la productividad de las plantas.
Lgx Spa,Agricultura / Pesca / Ganaderia,"Puerto Montt, Los Lagos","Empresa dedicada a la prestacion de servicios de robotica y arriendo de equipos oceanograficos, con alta experiencia, sus principales clientes estan enfocados en la industria salmonera. Sus zonas de trabajo en la decima y undecima region."
Austral Granos S.A.,Agricultura / Pesca / Ganaderia,"Santiago Centro, R.Metropolitana","Compra y procesamiento de granos, especialmente avena........................................................................................................................................................................"
Agricola y comercial los volcanes Spa,Agricultura / Pesca / Ganaderia,"yumbel, Biobio","Empresa destinada a la venta de quesos de cabra, 100% natural. Produce la leche y vende la produccion de sus quesos. Estan en el mercado desde el ano 2013."
Antumapu,Agricultura / Pesca / Ganaderia,"Chimbarongo, Libertador B. O Higgins","Empresa Agricola dedicada a la produccion de fruta de exportacion: uvas de mesa, manzanas, cerezas, kiwis, peras y otros. Produccion de arboles frutales y hortalizas."
Trical Sudamerica S.A.,Agricultura / Pesca / Ganaderia,"Rengo, Libertador B. O Higgins","Trical Sudamerica S.A., operamos desde el ano 2000, ofreciendo alternativas rentables y viable para la industria fruticola. Nuestro negocio principal esta dirigido a fumigaciones para los replantes de patrones y huertos en viveros frutales, forestales y para hortalizas."
Surnut Chile,Agricultura / Pesca / Ganaderia,"Talagante, R.Metropolitana","Somos una Empresa formada en el ano 2000, enfocada principalmente en la produccion de nueces."
Asagrin Ltda,Agricultura / Pesca / Ganaderia,"Santiago - Providencia, R.Metropolitana","Consultora del sector silvoagropecuario dedicada a la prestacion de asesorias, capacitaciones y asistencia tecnica con presencia en las regiones de Antofagasta, Valparaiso, Metropolitana, O'Higgins, La Araucania, Los Rios, Los Lagos y Magallanes"
Broom Frio Ovalle,Agricultura / Pesca / Ganaderia,"Ovalle, Coquimbo",Empresa del rubro Frigorifico para almacenamiento y procesamiento de fruta fresca. Trabajamos con una logistica clara y altos estandares de calidad para el tratamiento de la fruta.
SERVICIOS PUNTA AZALA SPA,Agricultura / Pesca / Ganaderia,"Punta Arenas, Magallanes y Antartica Chilena","Nos especializamos en la Agricultura, Ganaderia, Caza y Silvicultura, Granos, Semillas (Produccion, Al Por Mayor) Insecticidas, Fumigacion, trabajo totalmente garantizado"
Teksa SPA,Agricultura / Pesca / Ganaderia,"Santiago - Pudahuel, R.Metropolitana","Teksa es una Pyme dedicada a la venta de Mangueras y fittings para la agricultura, mineria e Industria, nuestras bodegas y oficinas se encuentran en las Bodegas de San Francisco."
Carnes Rojas,Agricultura / Pesca / Ganaderia,"Santiago - El Bosque, R.Metropolitana",---
Comercializadora Nutreco Chile Ltda,Agricultura / Pesca / Ganaderia,"Puerto Montt, Los Lagos","Skretting es lider mundial en produccion de dietas para la acuicultura, cumpliendo un rol esencial en la cadena de valor de los alimentos. Aplicamos nuestro conocimiento en materia de ingredientes y requerimientos nutricionales de peces y camarones para desarrollar innovaciones que permitan alcanzar un optimo valor nutricional, una produccion sustentable y rendimiento economico, mientras buscamos cumplir nuestra mision de ""Alimentar el Futuro"" (Feeding the Future)."
Lagar de Lobos,Agricultura / Pesca / Ganaderia,"Valdivia, Los Rios","Micro-Empresa familiar dedicada a la produccion de agroalimentos, y productos agricolas, frutas y otros. Somos lideres en la region en la produccion de chicha de manzana, sidra, jugos y vinagre. tenemos un local comercial en sector centrico de Valdivia, en el cual comercializamos al detalle, nuestros productos, y algunos otros que revendemos. tenemos como marca, para nuestros productos ""Lagar de Lobos""."
PLAGUISUR LTDA,Agricultura / Pesca / Ganaderia,"Rancagua, Libertador B. O Higgins","Somos una empresa de control de plagas con amplia experiencia en el rubro por mas de 33 anos. Buscamos personas serias, comprometidas, proactivas y con ganas de superarse y crecer en un ambiente de trabajo grato."
Servicios Sandoval Seebach y Miranda SpA,Agricultura / Pesca / Ganaderia,"Puerto Montt, Los Lagos","Empresa en crecimiento, ubicada en la decima region, que presta servicios acuicolas y de armado y mantencion de estructuras a las empresas salmoneras, entre otras."
Genesis Plant SPA,Agricultura / Pesca / Ganaderia,"Buin, R.Metropolitana","Empresa familiar en expansion, ramo agricola, dedicada al cultivo y comercializacion de plantines de hortalizas. Con un excelente ambiente laboral y oportunidades de crecimiento para todos nuestros trabajadores."
ATAM SPA,Agricultura / Pesca / Ganaderia,"Santiago Centro, R.Metropolitana","EMPRESA DEDICADA AL DISENO Y CONSTRUCCION DE PROYECTOS SERVIU, MOP , AGUAS ANDINAS."
Vina Pirazzoli limitada,Agricultura / Pesca / Ganaderia,"Molina, Maule","Vina dedicada a la elaboracion y produccion de vinos orientada al mercado internacional, con productos seleccionados, principales paises, China, Europa"
AGRICOLA FRUTICOLA MARANELLO LTDA,Agricultura / Pesca / Ganaderia,"Nacimiento, Biobio","Empresa dedicada al area Agricola (maiz, trigo, entre otros) y al area Fruticola (arandanos, avellanos, manzanos, cerezos, entre otros) mas un laboratorio de plantas in vitro, Viveros Maranello cuenta con un laboratorio in vitro con mas de 10 anos de experiencia en propagacion de las principales especies de frutales mayores y menores incluidas especies nativas, que han tenido un probado desempeno en tierras nacionales."
Clinica veterinaria Pets Center,Agricultura / Pesca / Ganaderia,"Santiago - Las condes, R.Metropolitana","Clinica Veterinaria ubicada en el sector oriente de la capital. Cuenta con Venta de Alimentos, Farmacia, Accesorios, Cirugia, Examenes y Medicina interna."
FRIGORIFICO CAMER LTDA.,Agricultura / Pesca / Ganaderia,"San Bernardo, R.Metropolitana","PLANTA FAENADORA DE CARNES Y FRIGORIFICO UBICADA EN LA COMUNA DE SAN BERNARDO OCHAGAVIA 12301 ENTRE LAS CALLES LAS ACACIAS Y AVENIDA AMERICA "" PRODUCCION, PROCESAMIENTO DE CARNES ROJAS Y PRODUCTOS CARNICOS."
Qualiagro SRL,Agricultura / Pesca / Ganaderia,Extranjero,---
AGRICOLA SANTA MARTA DE LIRAY S.A.,Agricultura / Pesca / Ganaderia,"Colina, R.Metropolitana","Empresa agricola, con mas de 50 anos de trayectoria, dedicada a la crianza de aves para produccion y comercializacion de huevos y tambien, cultivo de uva para exportacion, a diferentes mercados"
COMERCIAL ANDINA INDUSTRIAL SAC,Agricultura / Pesca / Ganaderia,---,---
FUMIGACION CHILE,Agricultura / Pesca / Ganaderia,"Santiago - San Miguel, R.Metropolitana","EMPRESA DEDICADA AL CONTROL DE PLAGAS, PRESTA LOS SERVICIOS DE SANITIZACION, DESRATIZACION Y DESINSECTACION A DEMAS DE CONTROL DE MURCIELAGOS PALOMAS Y TERMITAS"
Tesat,Agricultura / Pesca / Ganaderia,"Osorno, Los Lagos",Empresa dedicada a prestar servicio electromecanico de equipos y a la venta de proyectos.
America Andina,Agricultura / Pesca / Ganaderia,"Santiago - Pudahuel, R.Metropolitana",Empresa comercializadora de pescados y mariscos
FUMIGACION CHILE,Agricultura / Pesca / Ganaderia,"Santiago - San Miguel, R.Metropolitana","EMPRESA DEDICADA AL CONTROL DE PLAGAS, PRESTA LOS SERVICIOS DE SANITIZACION, DESRATIZACION Y DESINSECTACION A DEMAS DE CONTROL DE MURCIELAGOS PALOMAS Y TERMITAS"
INDUQUIMP SPA,Agricultura / Pesca / Ganaderia,"Osorno, Los Lagos",INDUQUIMP SPA ES UNA COMPANIA CHILENA DEDICADA A LA IMPORTACION - REPRESENTACION Y DISTRIBUCION MAYORISTA Y MINORISTA DE PRODUCTOS QUIMICOS Y VETERINARIOS PARA LA AGROINDUSTRIA - LECHERIAS - ACUICOLA/INDUSTRIA VITIVINICOLA Y LACTEO/QUESERA.
agricola sta gabriela ltda,Agricultura / Pesca / Ganaderia,"Curico, Maule",productora frutas
GANADERA VIENTO SUR,Agricultura / Pesca / Ganaderia,"Puente Alto, R.Metropolitana","RESPETABLE EMPRESA GANADERA RECONOCIDA EN EL MERCADO POR SU CALIDAD Y BUEN SERVICIO, CON UN EQUIPO DE TRABAJO COMPROMETIDO CON LA EXCELECIA PARA NUESTROS CLIENTES."
Agricola Los Olmos Ltda.,Agricultura / Pesca / Ganaderia,"Chimbarongo, Libertador B. O Higgins","Vivero dedicado al rubro de hortalizas y arboles frutales, con mas de 25 anos de trayectoria."
Agricola las casas de Ibacache Limitada,Agricultura / Pesca / Ganaderia,"Melipilla, R.Metropolitana","Empresa agricola de la provincia de Melipilla especificamente en el valle de Mallarauco, fundada en 1854 especializada en la produccion de citricos, paltas, nueces y otros"
Comercial Bienvenido SPA,Agricultura / Pesca / Ganaderia,"Colina, R.Metropolitana","Comercial Bienvenido, es una empresa dedicada a la venta de insumos agricolas y representacion de marcas exclusivas, con operaciones desde la III a la VIII region, con zonales y representantes de la misma en cada una de ellas, orientado de satisfacer las necesidades de los productores nacionales."
La Invernada Export SpA.,Agricultura / Pesca / Ganaderia,"Santiago - Lo Barnechea, R.Metropolitana",Empresa procesadora y exportadora de Frutos Secos
agricola riojara ltda,Agricultura / Pesca / Ganaderia,"Curico, Maule",Empresa fruticola con oficinas en Curico fundada en 1990.
Agrizano sa,Agricultura / Pesca / Ganaderia,"Curico, Maule","Empresa agricola y agroindustrial productora y procesadora de manzanas cerezas kiwis ,ciruelas y otros"
Encipharm Ltda.,Agricultura / Pesca / Ganaderia,"Santiago - Cerrillos, R.Metropolitana","Empresa del aerea de salud y alimentacion animal dedicada a la distribucion de aditvos de alimentos, test de diagnostico. Con una presencia sobre los 20 anos en el mercado nacional."
AGRICOLA CV SPA,Agricultura / Pesca / Ganaderia,"Rengo, Libertador B. O Higgins","Empresa dedicada CULTIVOS EN GENERAL, CULTIVO DE PRODUCTOS DE MERCADO, HORTICULTURA"
AQUA AUSTRAL,Agricultura / Pesca / Ganaderia,"Puerto Montt, Los Lagos","IMPORTANTE EMPRESA PROCESADORA DE PRODUCTOS DEL MAR UBICADA EN LAS AFUERAS DE LA CIUDAD DE PUERTO MONTT, EN RUTA 5 SUR KM 1038, DEDICADA A LA COMERCIALIZACION DE DIVERSOS PRODUCTOS DEL MAR."
Taymec SpA,Agricultura / Pesca / Ganaderia,"Los Angeles, Biobio",Dedicada al rubro de la mantencion a Maquinaria Agricola y Forestal y Construccion
Comercializadora Interandina S.A:,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
La Rinconada S.A.,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
Soc. Com. Riego Agricola Herpla Ltda.,Agricultura / Pesca / Ganaderia,"Melipilla, R.Metropolitana",---
Sfg Molina,Agricultura / Pesca / Ganaderia,"Molina, Maule",---
Agricola Rancho Blanco Limitada,Agricultura / Pesca / Ganaderia,"San Felipe, Valparaiso",---
Boutiques & Corners,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
Doris y Juan Carlos Faundes,Agricultura / Pesca / Ganaderia,Valparaiso,---
Nemochile,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
Carnes Manecita S.A,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
Mayco,Agricultura / Pesca / Ganaderia,"Coquimbo, Coquimbo",---
Comercial Movimento Ltda.,Agricultura / Pesca / Ganaderia,"San Bernardo, R.Metropolitana",---
San Diego,Agricultura / Pesca / Ganaderia,Aisen del Gral. C. Ibanez del Campo,---
Timac Agro Chile Ltda,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
F.w.p. S.a.,Agricultura / Pesca / Ganaderia,Valparaiso,---
Soc. Agricola Oasis de Lampa,Agricultura / Pesca / Ganaderia,"Lampa, R.Metropolitana",---
Fucoa,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
Fen Bio-dinamico,Agricultura / Pesca / Ganaderia,"Curacavi, R.Metropolitana",---
Farm direct Food Latin America S.A.,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
Agroindustrial las Tres Erre,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
Soc. Agricola Campusano ltda,Agricultura / Pesca / Ganaderia,Libertador B. O Higgins,---
Terra Nativa,Agricultura / Pesca / Ganaderia,Magallanes y Antartica Chilena,---
Contratista Agricola,Agricultura / Pesca / Ganaderia,"Paine, R.Metropolitana",---
Agricola Bauza Ltda.,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
Agroindustrial del Norte S.A,Agricultura / Pesca / Ganaderia,Coquimbo,---
Latin Meat,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
Agricola Harris,Agricultura / Pesca / Ganaderia,"Sagrada Familia, Maule",---
Quality Foods S.A.,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
Rutafood,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
Pesquera Torres del Paine S.A.,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
Alto La Cruz,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
Top Harvest,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
Com. Hidroservicios S.A.,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
Agricola Hidrocampo Ltda.,Agricultura / Pesca / Ganaderia,"Lampa, R.Metropolitana",---
Semillero Pichidegua,Agricultura / Pesca / Ganaderia,Libertador B. O Higgins,---
Sociedad Comercial Marbling Limitada,Agricultura / Pesca / Ganaderia,"San Bernardo, R.Metropolitana",---
Pa-parrilla,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
Exportadora Chiquita Chile LTdA,Agricultura / Pesca / Ganaderia,Valparaiso,---
Exportadora Planet S.A.,Agricultura / Pesca / Ganaderia,Valparaiso,---
Corporacion Chilena del Vino AG,Agricultura / Pesca / Ganaderia,"Santiago Centro, R.Metropolitana",---
Semillas Seminis Sudamerica,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
Salmones Camanchaca S.A,Agricultura / Pesca / Ganaderia,"Tome, Biobio",---
Vina Terramater S.A.,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
Agrocomercial TVM,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
Cdv,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
Latin Meat,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
Agricola Harris,Agricultura / Pesca / Ganaderia,"Sagrada Familia, Maule",---
Quality Foods S.A.,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
Rutafood,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
Pesquera Torres del Paine S.A.,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
Alto La Cruz,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
Top Harvest,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
Com. Hidroservicios S.A.,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
Agricola Hidrocampo Ltda.,Agricultura / Pesca / Ganaderia,"Lampa, R.Metropolitana",---
Semillero Pichidegua,Agricultura / Pesca / Ganaderia,Libertador B. O Higgins,---
Sociedad Comercial Marbling Limitada,Agricultura / Pesca / Ganaderia,"San Bernardo, R.Metropolitana",---
Pa-parrilla,Agricultura / Pesca / Ganaderia,R.Metropolitana,---
Exportadora Chiquita Chile LTdA,Agricultura / Pesca / Ganaderia,Valparaiso,---
Exportadora Planet S.A.,Agricultura / Pesca / Ganaderia,Valparaiso,---
