Empresa,Direciion,Descripcion
Snf floerger de mexico s.a. de c.v.,"El Marques, Mexico","Snf floerger de mexico subsidiaria del grupo snf, es el lider mundial en fabricacion y comercializacion de floculantes y coagulantes organicos.

nuestra estructura en torno a la quimica de la acrilamida nos permite ofrecer la mas grande variedad de polimeros base acrilamida para procesos de separacion solido-liquido.

nuestras aplicaciones incluyen:

procesos de separacion solido - liquido
clarificacion
espesado de lodos
deshidratado de lodos
ayudantes de flotacion (daf, iaf)
remocion de metales pesados
espesantes para la industria cosmetica
procesos de separacion en mineria
superabsorbentes de uso agricola"
Av quimicos,"Zapopan, Mexico","Av. quImicos es una empresa con experiencia, en la distribucion y la comercializacion de quimicompuestos y materias primas, para el sector productivo en las especialidades de:
cosmA%0tica alimentos farmacA%0uticos industrial y agricultura"
Verdevida,"El Marques, Mexico","Producimos y vendemos fertilizantes organicos de excelente calidad, en proceso de certificacion, humus de lombriz y compostas organicas, asi como liquidos, pies de cria, asesoria. tambien recibimos residuos organicos como podas, cosechas, restaurantes, estiercol, etc."
Ecoservicios,"San Andres Cholula, Mexico",Soy productora: vendo fresa tipo albion cultivada en hidroponia
Rancho Ecologico el Amate,"Ocuilan, Mexico","Empresa Dedicada a la Agricultura Organica, Elaboracion de Conservas Artesanales de Frutas y Hortalizas, Mermeladas, Ates, Almibares, Jugos de Frutas, Licores y Golosinas."
"Productores de Salamanca, S.A. de C.V.","Salamanca, Mexico",Empresa Dedicada a la Produccion de Productos Agropecuarios.
La Granjita,"Cortazar, Mexico",Agricultura e Invernaderos.
Grupo Alfer,"Los Mochis, Mexico",Empresa Dedicada a la Produccion de Granos y Hortalizas Para Exportacion.
"Fertilizantes Organicos Biogenix, S.A. de C.V.","Ramos Arizpe, Mexico","Institucion de Investigacion Biologica en Nutricion y Desarrollo Vegetal, Asi Como Productores de Insumos Agricolas de Origen Organico."
Keithly-Williams Semillas de Mexico,"Mexicali, Mexico","Empresa Dedicada a la Venta de Semillas para la Agricultura, Semillas de Alcachofa, Esparrago, Frijoles, Remolacha, Brocoli, Col, Zanahoria, Coliflor, Mostaza, Perejil, Papaya, etc."
"Maf Agrobotica, S.A. de C.V.","Culiacan, Mexico","Empresa Dedicada a la Venta de Equipo, Maquinaria y Refacciones para la Agricultura, Motoreductores, Chumaceras, Transportadores de Rodillos, Rodillos para Bandas, Grapas para Bandas, Ventiladores Industriales, Volcadores, Cribas Eliminadoras, etc."
"Fertilizantes y Minerales, S.A. de C.V. Femisa","Queretaro, Mexico","Actividad. Extraccion, Produccion y Beneficio de Diferentes Minerales no Metalicos; asi como Materias Primas Basicas para la Industria Agricultura, Agropecuaria, Construccion, Perforacion, Fundicion, Cosmetica, Ceramica y Pinturas entre Otras."
"Agrosolaris, S.A. de C.V.","Salamanca, Mexico",Fabricante de productos quimicos para la agricultura e industria.
"Agroteq, S.A. de C.V.","Queretaro, Mexico","Empresa Dedicada a la Proveduria de Insumos Agricolas Organicos y Otros Para Agricultura Convencional, Principalmente lo Relacionado a Nutricion y Cubiertas Plasticas."
"Andreas Stihl, S.A. de C.V.","Delegacion Alvaro Obregon, Mexico","Compra/Venta, Importacion y Comercializacion de todo tipo de Implementos Motorizados Manuales para la Industria, Construccion, Forestal, Agricultura y Jardineria."
"Quimica Pima, S.A. de C.V.","Hermosillo, Mexico","Empresa Dedicada a la Fabricacion y Comercializacion de Productos Quimicos para la Industria y la Agricultura. Contamos con Instalaciones Necesarias de Almacenamiento asi como Transporte Especializado para Efectuar Entregas en Tiempo y Forma, ..."
"Geoquimica Industrial IBCER, S.A. de C.V.","Los Mochis, Mexico","Somos una Empresa 100% Mexicana Dedicada a Desarrollar Productos y Metodos Organicos para Mejorar Suelos, Fortalecer Cultivos y Controlar Plagas en la Agricultura y Jardineria. Nuestra Mision es Satisfacer las Necesidades de Agricultores y ..."
"Agroinsumos VMV, S.A. de C.V.","Matamoros, Mexico","Empresa Dedicada a la Venta de Insumos para la Agricultura, Semillas Forrajeras, Productos Organicos, Quimicos, etc."
Cia. Tratamiento de Cobre y Sulfato,"Acolman, Mexico","Fabricante de productos para la industria quimica, agricultura, sales para la elaboracion de premezclas minerales en la industria de alimentos balanceados para animales y materias primas para la industria farmaceutica. Sulfato ferroso, sulfato de ..."
PlastA*Textil Agrotextiles Mexico / Plastextil,"Culiacan, Mexico",Fabricacion de Mallas Agricolas asi Como Tejidos de Proteccion para Agricultura y Horticultura.
Agricultura Alternativa,"San Luis Potosi, Mexico",Empresa Dedicada a Brindar Servicios de Consultoria en Diseno de Proyectos Sustentables y Agricultura Urbana.
"Maquinaria, S.A. de C.V. Maqsa","Chihuahua, Mexico","Con mas de 60 anos de experiencia, MAQSA es una empresa lider en maquinaria, refacciones y servicio para la industria, el comercio, la mineria, la agricultura y la construccion; influyendo positivamente en el constante desarrollo de la sociedad y el..."
Gravure Chemicals International,"Zapopan, Mexico","Empresa dedicada a la venta de productos quimicos para el rotograbado, aditivos ecologicos para ahorro y potencia de combustibles, ahorros hasta un 50% de gasolina y emisiones, fertilizantes organicos para agricultura y productos para el tratamiento..."
Chemical Instruments and Medical Supplies,"Zapopan, Mexico","Instrumentacion Analitica para la Industria del Agua, Farmaceutica, Alimentos, Agricultura, Quimica, Medica, Proceso, Investigacion, Cosmetica, Petroquimica, Acuicola e Industria en General."
"Comercializadora Greenhow, S.A. de C.V.","Zapopan, Mexico","Empresa Dedicada a la Comercializacion de Fertilizantes Hidrosolubles para la Agricultura, Asi como Servicio Tecnico para Fertilizacion."
"Barmex, S.A. de C.V.","Santa Catarina, Mexico","Somos una Empresa Lider con mas de 30 Anos de Experiencia en la Fabricacion y Comercializacion de Productos Quimicos para la Perforacion, Construccion, Agricultura, Alimentos, Medio Ambiente, Curtiduria, Limpieza, entre otros. Sistema de Gestion de ..."
"Buckman Laboratories, S.A. de C.V.","Jiutepec, Mexico","Buckman desde 1945 Ofrece Productos Quimicos para las Industrias: Pulpa y Papel, Tratamiento de Aguas, Teneria, Agricultura y Tratamiento de Madera, Textil, Pinturas y Recubrimientos asi como a las Industrias Petrolera y Minera. Desde Nuestra ..."
"Leyton Green House and Supply, S. de R.L. de C.V.","Celaya, Mexico","Servicio en todo lo que se refiere a suministro de materiales y equipos para agricultura tecnificada servicios de instalacion de sistemas de riego, capacitacion en manejo de cultivos en condiciones de ambiente controlado y sistemas fertiriego, asi ..."
